m/z,Composition,Glycan Structure,Name,Glycoprofiles
1235,Hex(2)HexNAc(4)Sul(1),GlcNAcβ1-3[HexNAc-Galβ1-4(6S)GlcNAcβ1-6]GalNAcol,1235-2,['P4TS']
1243,NeuAc(1)Hex(2)HexNAc(3),NeuAcα2-3Galβ1-3[HexNAc1-4Galβ1-4GlcNAcβ1-6]GalNAcol,1243-1,"['P1TS', 'P4TI', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P6TA-AG', 'P5TA-AS', 'P8H', 'P9H', 'P10H']"
1243,NeuAc(1)Hex(2)HexNAc(3),NeuAcα2-3Galβ1-4GlcNAcβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcol,1243-2,['P10H']
1244,Hex(2)HexNAc(3)dHex(2),Galβ1-3[GalNAcα1-3(Fucα1-2)Gal(Fuc)GlcNAcβ1-6]GalNAcol,1244-1,['P7TA-AG']
1244,Hex(2)HexNAc(3)dHex(2),GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAc(Fucα1-2)Galβ1-3GalNAcol,1244-2,['P7TA-AG']
1244,Hex(2)HexNAc(3)dHex(2),GalNAcα1-3(Fucα1-2)Galβ1-3[Gal(Fuc)GlcNAcβ1-6]GalNAcol,1244-3,['P7TA-AG']
1244,Hex(2)HexNAc(3)dHex(2),HexNAc1-4Galβ1-3[Fucα1-2Gal(Fuc)GlcNAcβ1-6]GalNAcol,1244-4,['P7TA-AG']
1244,Hex(2)HexNAc(3)dHex(2),GalNAcα1-3(Fucα1-2)Galβ1-3(Fucα1-2Galβ1-4GlcNAcβ1-6)GalNAcol,1244-5,"['P1TI', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P5TA-AS', 'P7TA-AG', 'P8H', 'P9H']"
1244,Hex(2)HexNAc(3)dHex(2),Fucα1-2Galβ1-3[GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-6]GalNAcol,1244-6,"['P1TS', 'P1TI', 'P2TS', 'P4TS', 'P4TI', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P5TA-AS', 'P5TA-AG', 'P7TA-AG', 'P8H', 'P9H']"
1244,Hex(2)HexNAc(3)dHex(2),Fucα1-2Galβ1-3[GalNAcα1-3(Fucα1-2)Galβ1-3GlcNAcβ1-6]GalNAcol,1244-7,"['P6TA-FG', 'P6TA-AS', 'P6TA-AG']"
1260,Hex(3)HexNAc(3)dHex(1),Gal(Fuc)GlcNAc-Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcol,1260-1,"['P1TS', 'P6TA-FS', 'P6TA-FG', 'P7TA-AG', 'P8H', 'P9H', 'P10H']"
1260,Hex(3)HexNAc(3)dHex(1),Gal(Fuc)GlcNAc-Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcol,1260-2,"['P6TA-FS', 'P6TA-AG', 'P10H']"
1260,Hex(3)HexNAc(3)dHex(1),HexNAc1-4Galβ1-3[Galα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-6]GalNAcol,1260-3,['P5TA-AG']
