m/z,Composition,Glycan Structure,Name,Glycoprofiles
1974,Hex(4)HexNAc(5)dHex(2),GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-3(Fucα1-2Galβ1-4GlcNAcβ1-6)Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcol,1974-4,"['P2TS', 'P4TS', 'P4TI', 'P6TA-FG']"
1974,Hex(4)HexNAc(5)dHex(2),Fucα1-2Galβ1-3[GalNAcα1-3(Fucα1-2)Gal-GlcNAc-Gal-GlcNAc-Gal-GalNAcβ1-6]GalNAcol,1974-5,['P8H']
1988,NeuAc(2)Hex(3)HexNAc(3)dHex(2),NeuAcα2-3Galβ1-3[NeuAcα2-3Gal(Fuc)GlcNAc-Gal(Fuc)GlcNAcβ1-6]GalNAcol,1988,"['P5TA-AS', 'P10H']"
1990,Hex(5)HexNAc(5)dHex(1),Fucα1-2Gal-GlcNAc(Gal-GlcNAc)Galβ1-3(Gal-GlcNAc-Gal-GlcNAcβ1-6)GalNAcol,1990-1,['P6TA-FS']
1990,Hex(5)HexNAc(5)dHex(1),Fucα1-2Gal-GlcNAc(Gal-GlcNAc)Galβ1-3(Gal-GlcNAc-Gal-GlcNAcβ1-6)GalNAcol,1990-2,['P6TA-FS']
1990,Hex(5)HexNAc(5)dHex(1),Fucα1-2Gal-GlcNAc(Gal-GlcNAc)Galβ1-3(Gal-GlcNAc-Gal-GlcNAcβ1-6)GalNAcol,1990-3,['P6TA-FS']
1990,Hex(5)HexNAc(5)dHex(1),Fucα1-2Gal-GlcNAc(Gal-GlcNAc)Galβ1-3(Gal-GlcNAc-Gal-GlcNAcβ1-6)GalNAcol,1990-4,['P6TA-FS']
1990,Hex(5)HexNAc(5)dHex(1),Galβ1-3(Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-6)GalNAcol,1990-5,['P1TS']
1990,Hex(5)HexNAc(5)dHex(1),Fucα1-2Galβ1-3(Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-6)GalNAcol,1990-6,['P1TS']
2031,Hex(4)HexNAc(6)dHex(1),Gal(Fuc)GlcNAcβ1-3(HexNAc-Galβ1-4GlcNAcβ1-6)Galβ1-3(HexNAc-Galβ1-4GlcNAcβ1-6)GalNAcol,2031-1,"['P6TA-AG', 'P7TA-AG']"
2031,Hex(4)HexNAc(6)dHex(1),HexNAc-Galβ1-4GlcNAcβ1-3[Gal(Fuc)GlcNAcβ1-6]Galβ1-3(HexNAc-Galβ1-4GlcNAcβ1-6)GalNAcol,2031-2,"['P6TA-FG', 'P6TA-AG', 'P7TA-AG']"
2031,Hex(4)HexNAc(6)dHex(1),Gal(Fuc)GlcNAcβ1-3(HexNAc-Galβ1-4GlcNAcβ1-6)Galβ1-3(HexNAc-Galβ1-4GlcNAcβ1-6)GalNAcol,2031-3,"['P6TA-FS', 'P6TA-AG', 'P8H', 'P9H', 'P10H']"
2031,Hex(4)HexNAc(6)dHex(1),HexNAc-Galβ1-4GlcNAcβ1-3[Gal(Fuc)GlcNAcβ1-6]Galβ1-3(HexNAc-Galβ1-4GlcNAcβ1-6)GalNAcol,2031-4,"['P1TS', 'P6TA-FS', 'P6TA-AG', 'P8H', 'P9H']"
2031,Hex(4)HexNAc(6)dHex(1),Fuc+HexNAc-Galβ1-4GlcNAcβ1-3(HexNAc-Gal-GlcNAcβ1-6)Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcol,2031-5,['P1TS']
2062,NeuAc(1)Hex(4)HexNAc(4)dHex(2),Gal(Fuc)GlcNAcβ1-3Galβ1-3[NeuAcα2-3Gal(Fuc)GlcNAc-Galβ1-4GlcNAcβ1-6]GalNAcol,2062,['P10H']
2088,Hex(4)HexNAc(7),HexNAc-Gal-GlcNAcβ1-3(HexNAc-Gal-GlcNAcβ1-6)Galβ1-3(HexNAc-Gal-GlcNAcβ1-6)GalNAcol,2088,"['P1TS', 'P4TI', 'P6TA-FS', 'P6TA-FG', 'P6TA-AG', 'P7TA-AG', 'P9H', 'P10H']"
2120,Hex(4)HexNAc(5)dHex(3),Gal(Fuc)GlcNAcβ1-3[Fucα1-2Gal(Fuc)GlcNAcβ1-6]Galβ1-3(HexNAc-Gal-GlcNAcβ1-6)GalNAcol,2120-1,['P8H']
2120,Hex(4)HexNAc(5)dHex(3),Fucα1-2GalGlcNAcβ1-3(Fucα1-2GalGlcNAcβ1-6)Galβ1-3[GalNAc(Fuc)Gal-GlcNAcβ1-6]GalNAcol,2120-2,['P8H']
2136,Hex(5)HexNAc(5)dHex(2),Fucα1-2Galβ1-4GlcNAcβ1-3(Fucα1-2Galβ1-4GlcNAcβ1-6)Galβ1-3(Gal-GlcNAc-Gal-GlcNAcβ1-6)GalNAcol,2136,"['P1TS', 'P6TA-FS', 'P10H']"
