,start,end,vis_group_4.substrateProduct_ratio,vis_group_4.spearman.ppcor_pvalue,vis_group_4.spearman.ppcor,vis_group_2.substrateProduct_ratio,vis_group_2.spearman.ppcor_pvalue,vis_group_2.spearman.ppcor,vis_group_1.substrateProduct_ratio,vis_group_1.spearman.ppcor_pvalue,vis_group_1.spearman.ppcor,split_group_4.substrateProduct_ratio,split_group_4.spearman.ppcor_pvalue,split_group_4.spearman.ppcor,split_group_2.substrateProduct_ratio,split_group_2.spearman.ppcor_pvalue,split_group_2.spearman.ppcor,split_group_1.substrateProduct_ratio,split_group_1.spearman.ppcor_pvalue,split_group_1.spearman.ppcor,k_2013_group_4.substrateProduct_ratio,k_2013_group_4.spearman.ppcor_pvalue,k_2013_group_4.spearman.ppcor,k_2013_group_2.substrateProduct_ratio,k_2013_group_2.spearman.ppcor_pvalue,k_2013_group_2.spearman.ppcor,k_2013_group_1.substrateProduct_ratio,k_2013_group_1.spearman.ppcor_pvalue,k_2013_group_1.spearman.ppcor,k_2010_group_4.substrateProduct_ratio,k_2010_group_4.spearman.ppcor_pvalue,k_2010_group_4.spearman.ppcor,k_2010_group_2.substrateProduct_ratio,k_2010_group_2.spearman.ppcor_pvalue,k_2010_group_2.spearman.ppcor,k_2010_group_1.substrateProduct_ratio,k_2010_group_1.spearman.ppcor_pvalue,k_2010_group_1.spearman.ppcor
25,189,199,0.433351543,6.20E-38,0.591176684,0.436106735,1.60E-55,0.693630908,0.438289972,7.27E-45,0.639550862,0.431025166,1.74E-112,0.638360216,0.439263125,3.55E-173,0.747858521,0.439408535,8.26E-116,0.648091735,0.436941599,9.74E-77,0.637335543,0.440886347,1.78E-125,0.763361601,0.443535844,3.24E-96,0.697667657,0.427664394,1.63E-54,0.621836691,0.434819007,3.31E-70,0.690419892,0.435338637,5.53E-44,0.573782035
26,189,200,0.404740543,6.27E-05,0.201751873,0.399974949,1.02E-10,0.324483841,0.407316959,2.59E-09,0.300221162,0.397869434,1.37E-36,0.389428214,0.397415199,2.54E-44,0.428673438,0.405239255,2.55E-43,0.424088429,0.411823564,3.80E-38,0.472656173,0.403434864,1.15E-22,0.370658272,0.413875849,2.54E-10,0.244395383,0.394404929,3.16E-08,0.244992014,0.39698487,5.14E-16,0.356211201,0.404667958,4.66E-10,0.277459993
27,189,201,0.204305354,3.95E-34,-0.565191073,0.203008122,4.18E-42,-0.623528943,0.203029642,1.43E-24,-0.493250396,0.197826302,1.81E-105,-0.62248468,0.201923173,2.01E-134,-0.685165894,0.200649898,1.86E-105,-0.624956985,0.20574797,2.67E-71,-0.619104733,0.204825342,4.07E-69,-0.615096473,0.205042423,1.39E-57,-0.570578979,0.202076337,5.52E-57,-0.632905783,0.201504336,1.60E-60,-0.653004285,0.201505746,1.16E-25,-0.450071688
28,190,176,2.130085849,2.99E-23,0.475192837,2.139837202,8.33E-14,0.371371045,2.186400285,5.29E-18,0.42490722,2.158339067,2.08E-91,0.587644257,2.161790424,2.85E-132,0.681149075,2.208650371,4.60E-91,0.589179026,2.137303579,1.03E-91,0.681914249,2.147995939,3.50E-40,0.48727951,2.187511742,4.72E-40,0.486564465,2.142682548,7.32E-29,0.471405532,2.145175321,5.67E-24,0.435625531,2.184984847,1.74E-24,0.440089923
29,190,182,1.238606558,0.010350657,-0.130028253,1.234397218,0.201099474,-0.065901868,1.28601645,0.017037575,-0.122659753,1.255302858,0.000294444,-0.115814485,1.253750261,0.00252124,0.097238825,1.304203506,0.981045827,-0.000766579,1.255153284,0.074380836,-0.069394906,1.251473684,0.100236064,-0.064429399,1.301204771,0.034372832,-0.082872512,1.240024508,0.000432553,-0.157278342,1.236072679,0.000679962,-0.153438631,1.280593376,0.165313078,-0.06296951
30,190,189,1.045744413,4.84E-20,-0.442583519,1.050858161,1.00E-18,-0.433224508,1.082463907,8.38E-23,-0.476311928,1.058264889,1.33E-94,-0.595943206,1.063859558,5.28E-93,-0.594275302,1.092754494,8.68E-78,-0.551673036,1.045643422,1.01E-110,-0.728948426,1.055738249,2.19E-46,-0.519702365,1.079861437,1.76E-31,-0.435001186,1.050580954,1.85E-28,-0.468320554,1.051014311,6.30E-39,-0.544415023,1.080635098,1.42E-22,-0.423137508
31,190,190,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
32,190,195,0.947087851,0.67956758,-0.021035151,0.945083055,0.000398445,-0.181224971,0.995781371,2.08E-07,-0.263188072,0.958948732,3.02E-18,-0.274239352,0.959237129,8.12E-24,-0.316297656,1.010237056,1.58E-17,-0.269827811,0.960208152,8.31E-16,-0.30590089,0.956216745,0.024605903,-0.088018245,1.007844106,1.97E-12,-0.270911515,0.940527811,0.018718067,-0.105432588,0.944227583,0.025302493,-0.101356271,0.989293695,0.004596886,-0.128219977
33,190,197,0.515446278,1.11E-56,0.692414105,0.510072027,3.80E-57,0.700936428,0.521847988,1.77E-33,0.566587596,0.512500835,2.06E-157,0.721863888,0.509341978,4.25E-168,0.740571697,0.520122521,2.83E-106,0.626855947,0.51210577,7.72E-151,0.803541537,0.508996287,2.74E-109,0.729438951,0.518507882,1.07E-68,0.613597053,0.519257167,1.17E-63,0.660731605,0.5089101,2.64E-88,0.747770346,0.521454093,2.45E-39,0.546909786
34,190,199,0.453174799,0.155494261,-0.072248203,0.458294804,1.33E-05,0.221913758,0.474426167,0.000242296,0.187719062,0.456117066,4.14E-11,0.209471072,0.467313762,2.09E-23,0.31350835,0.48016274,3.63E-13,0.231350177,0.456866355,8.40E-23,0.369158455,0.465460343,3.17E-05,0.1621879,0.478958029,1.75E-10,0.246538411,0.449325601,0.006083535,0.122894034,0.457018368,3.15E-07,0.229256533,0.470434152,0.083274519,0.078564713
