,1A,2A,3A,4A,5A,6A,1B,2B,3B,4B,5B,6B,1C,2C,3C,4C,5C,6C,1D,2D,3D,4D,5D,6D
?-D-Glcx2NAc-(1-?)-b-D-Galx-(1-4)-b-D-Glcx2NAc-(1-6)-[b-D-Galx-(1-3)]?-D-Galx2NAc,2.497403648690377,2.1313534943254977,2.759376644694724,1.6296634038785665,2.2325744766395204,2.3088775784881896,1.7427249443300974,2.522402003886181,3.447414512851063,1.6976776720414868,2.430967784128235,1.5578214605612697,2.1453729977017204,2.2365971973767813,2.8629752354341744,1.6806100547945415,2.225361169391295,2.2804570665372483,1.6148179710470836,1.7994870438781398,1.7853168696582515,2.39694618264161,2.1700117386551536,1.6727925714792329
b-D-Glcx2NAc-(1-6)-[b-D-Glcx2NAc-(1-6)-[b-D-Glcx2NAc-(1-3)]b-D-Galx-(1-3)]?-D-Galx2NAc,8.56743430499112,6.578383727110229,8.057984014539366,6.599726124852836,8.438648047762415,7.742893169127313,6.28498799882067,7.650622012984626,8.69160095290441,6.540910069571438,7.5317546760451295,8.721312714217188,8.621794632626282,7.300613243065323,8.023336335501515,7.277162844858293,8.214380235627925,7.871911441371568,7.030888274643762,6.892886341581002,7.176240208387793,9.242825275745263,5.510484679416269,8.384677650282487
?-D-Galx-(1-?)-b-D-Glcx2NAc-(1-6)-[b-D-Glcx2NAc-(1-3)-b-D-Galx-(1-3)]?-D-Galx2NAc,8.696959262559607,6.531648873954048,7.368702189540699,6.381898354595448,7.899047267075925,7.395720925703674,6.086041857370035,6.8594597467686125,7.524217467287997,5.710924775715326,6.859269208138741,7.383437427654131,8.756144295778231,7.247571415977348,7.315079082662289,6.517732661191335,7.7299641398710275,7.318587939442338,6.640255068792027,5.990297730968073,6.174180030327289,8.418426259366688,4.816460993347012,6.9863300052833495
?-L-Fucx-(1-?)-b-D-Glcx2NAc-(1-6)-[a-D-Neux5Ac-(2-3)-b-D-Galx-(1-3)]?-D-Galx2NAc,0.9943505058922814,0.7255966754614543,0.6751742262778687,0.745704169108157,1.1407516227375716,0.7936873809839444,2.492377219315096,0.8087522900912039,0.7367165754042873,1.1193473362064317,0.9878296559263886,1.1435973633962182,0.8972785062345712,0.8502912746056925,0.7142299146276103,1.1613975524292468,0.896369985231408,0.8087215959948564,0.6742891693125378,0.8569481128882637,0.7459644507640446,1.0937786502040507,0.6077236203148302,1.0181944214276326
?-D-Galx-(1-?)-?-D-Glcx2NAc-(1-?)-?-D-Galx-(1-?)-b-D-Glcx2NAc-(1-6)-?-D-Galx2NAc,4.968338559856483,4.7757746378949415,4.40366717790895,4.511490310613233,3.886029871159745,4.6134312402433535,5.085730350930357,4.9199559790904415,3.951145797815909,3.4174620373523883,3.8358858890195684,3.561111929442029,4.9731335123832725,4.925309178568753,4.388869349383936,4.429524902971715,4.193951174782772,4.339389204160084,4.156713486840079,3.688878339216572,3.874842592885072,5.429041128169546,3.82783511515759,3.824421811569785
?-D-Glcx2NAc-(1-?)-?-D-Galx-(1-?)-b-D-Glcx2NAc-(1-6)-[b-D-Galx-(1-3)]?-D-Galx2NAc,5.233990142425063,3.6134893004780118,4.615862256446029,3.9243472130724766,5.180852376585028,3.696465995054509,5.194876556119313,4.703006808670821,5.139995728593628,3.4531786727823315,5.0711404693725415,4.172516997100046,4.957789965551978,3.9139565682788655,4.819715904727207,5.085570676572242,4.529477763073778,3.7362456847884538,4.54843905167663,3.3753325135508594,4.014611618348252,5.95626879371001,3.9253363989970183,4.077902823132678
?-L-Fucx-(1-?)-b-D-Glcx2NAc-(1-6)-[b-D-Glcx2NAc-(1-3)-b-D-Galx-(1-3)]?-D-Galx2NAc,3.4255688061715404,2.5722583313001235,2.9178521944007434,2.7167572044493475,2.5152548239880934,2.534753509219456,2.4213401564585038,2.623442805464648,2.404388704027067,2.1502490492467308,2.048454002726352,2.0042355987386142,3.832002926775375,2.5957990550226966,2.755919890815245,2.122445718734102,2.6213243197218157,2.43173783416744,3.0731490472880347,2.065162275000887,2.394396638415538,3.4052362495860047,2.0065808416192463,2.023776655050325
?-L-Fucx-(1-?)-b-D-Glcx2NAc-(1-6)-[a-L-Fucx-(1-2)-b-D-Galx-(1-3)]?-D-Galx2NAc,2.655509427838794,1.4580472153636974,1.6366716063797158,1.5595199954787873,2.2937847990639235,1.552476873556329,3.3545295684393452,1.6410673409544658,1.957948003950124,2.58921350370845,1.9436735068071598,1.8078301738858864,2.4510043941716813,1.5177546402884536,1.8611167958095705,2.459399322153706,1.940516026627718,1.6804581756496555,3.184087795611373,1.8741302815489675,2.139030720820354,3.616790439868568,2.076872573586217,1.8210374490737835
?-D-Galx-(1-?)-b-D-Glcx2NAc-(1-6)-[a-L-Fucx-(1-2)-b-D-Galx-(1-3)]?-D-Galx2NAc,2.655509427838794,1.4580472153636974,1.6366716063797158,1.5595199954787873,2.2937847990639235,1.552476873556329,3.3545295684393452,1.6410673409544658,1.957948003950124,2.58921350370845,1.9436735068071598,1.8078301738858864,2.4510043941716813,1.5177546402884536,1.8611167958095705,2.459399322153706,1.940516026627718,1.6804581756496555,3.184087795611373,1.8741302815489675,2.139030720820354,3.616790439868568,2.076872573586217,1.8210374490737835
?-L-Fucx-(1-?)-?-D-Galx-(1-?)-b-D-Glcx2NAc-(1-6)-[b-D-Galx-(1-3)]?-D-Galx2NAc,2.5510015128322063,2.304990536851582,3.0547041941285182,2.5814207117604235,2.514769291561527,2.4049451935785715,1.8781017188826423,3.1034350737203726,2.6149537839207984,1.8053389108651856,2.33904886305713,1.9227390283700432,2.7108586498802216,2.3945861065649234,2.8969616998311163,2.367109385317032,2.7017921967924816,2.284563032487294,2.1600041613100767,1.805898347846469,2.461441196694102,2.7100434682997965,2.1566067849526416,1.8840559555875065
