,enzyme,index_source,index_target,node_source_linear,node_target_linear
735,A6SIAT,255,369,GNb6(Ab4GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,GNb6(Ab4GNb2)Ma6(Ab4GNb4(NNa6Ab4GNb2)Ma3)Mb4GNb4GN?
736,A6SIAT,255,370,GNb6(Ab4GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,GNb6(Ab4GNb2)Ma6(NNa6Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
737,A6SIAT,255,371,GNb6(Ab4GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,GNb6(NNa6Ab4GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
738,B4GALT,255,397,GNb6(Ab4GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
739,A3SIAT,255,436,GNb6(Ab4GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,GNb6(Ab4GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
740,A3SIAT,255,437,GNb6(Ab4GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
741,A3SIAT,255,438,GNb6(Ab4GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
742,A6SIAT,256,372,Ab4GNb6(GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb6(GNb2)Ma6(Ab4GNb4(NNa6Ab4GNb2)Ma3)Mb4GNb4GN?
743,A6SIAT,256,373,Ab4GNb6(GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb6(GNb2)Ma6(NNa6Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
744,B4GALT,256,397,Ab4GNb6(GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
745,IGNT,256,398,Ab4GNb6(GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
746,A3SIAT,256,439,Ab4GNb6(GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb6(GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
747,A3SIAT,256,440,Ab4GNb6(GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
748,A3SIAT,256,471,Ab4GNb6(GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,NNa3Ab4GNb6(GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
749,A6SIAT,256,478,Ab4GNb6(GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,NNa6Ab4GNb6(GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
750,A6SIAT,257,374,Ab4GNb6(Ab4GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb6(Ab4GNb2)Ma6(GNb4(NNa6Ab4GNb2)Ma3)Mb4GNb4GN?
751,A6SIAT,257,376,Ab4GNb6(Ab4GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb6(NNa6Ab4GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
752,B4GALT,257,397,Ab4GNb6(Ab4GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
753,IGNT,257,399,Ab4GNb6(Ab4GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
754,A3SIAT,257,441,Ab4GNb6(Ab4GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb6(Ab4GNb2)Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
755,A3SIAT,257,443,Ab4GNb6(Ab4GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
756,A3SIAT,257,472,Ab4GNb6(Ab4GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,NNa3Ab4GNb6(Ab4GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
757,A6SIAT,257,480,Ab4GNb6(Ab4GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,NNa6Ab4GNb6(Ab4GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
758,A6SIAT,258,375,Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb6(Ab4GNb2)Ma6(NNa6Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
759,A6SIAT,258,377,Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb6(NNa6Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
760,B4GALT,258,397,Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
761,IGNT,258,400,Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
762,A3SIAT,258,442,Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
763,A3SIAT,258,444,Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
764,A3SIAT,258,473,Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,NNa3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
765,A6SIAT,258,484,Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,NNa6Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
766,A6SIAT,259,378,GNb3Ab4GNb6(GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(GNb2)Ma6(GNb4(NNa6Ab4GNb2)Ma3)Mb4GNb4GN?
767,B4GALT,259,398,GNb3Ab4GNb6(GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
768,B4GALT,259,399,GNb3Ab4GNb6(GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
769,B4GALT,259,401,GNb3Ab4GNb6(GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
770,A3SIAT,259,445,GNb3Ab4GNb6(GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(GNb2)Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
771,A6SIAT,260,379,GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(GNb2)Ma6(NNa6Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
772,B4GALT,260,398,GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
773,B4GALT,260,400,GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
774,B4GALT,260,402,GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
775,A3SIAT,260,446,GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
776,A6SIAT,261,380,GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(Ab4GNb2)Ma6(NNa6Ab4GNb2Ma3)Mb4GNb4GN?
777,A6SIAT,261,381,GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(NNa6Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
778,B4GALT,261,403,GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
779,A3SIAT,261,447,GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4GN?
780,A3SIAT,261,448,GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
781,A6SIAT,262,382,GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(NNa6Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?
782,B4GALT,262,399,GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
783,B4GALT,262,400,GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
784,B4GALT,262,404,GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?
785,A3SIAT,262,449,GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?
786,A6SIAT,263,383,Ab4GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb6(GNb2)Ma6(NNa6Ab4GNb2Ma3)Mb4GNb4GN?
787,B4GALT,263,403,Ab4GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
788,IGNT,263,405,Ab4GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
789,A3SIAT,263,450,Ab4GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4GN?
790,A6SIAT,263,453,Ab4GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,NNa6Ab4GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
791,A3SIAT,263,457,Ab4GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,NNa3Ab4GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
792,B4GALT,264,401,Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
793,B4GALT,264,402,Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
794,B4GALT,264,404,Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?
795,IGNT,264,406,Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?
796,A6SIAT,264,454,Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,NNa6Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?
797,A3SIAT,264,458,Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,NNa3Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?
798,A6SIAT,265,384,Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb6(NNa6Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?
799,B4GALT,265,403,Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
800,IGNT,265,407,Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?,GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?
801,A3SIAT,265,451,Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?
802,A6SIAT,265,455,Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?,NNa6Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?
803,A3SIAT,265,459,Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?,NNa3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?
804,B4GALT,266,405,GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?,GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
805,B4GALT,266,407,GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?,GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?
806,B4GALT,266,408,GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?
807,B4GALT,269,413,GNb2Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb2Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
808,GNTV,269,416,GNb2Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?,GNb6(GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
809,B4GALT,270,414,NNa3Ab4GNb2Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?,NNa3Ab4GNb2Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
810,B4GALT,271,415,NNa3Ab4GNb2Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,NNa3Ab4GNb2Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
811,B4GALT,272,419,GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4GN?,Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4GN?
812,A3SIAT,273,409,GNb2Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb2Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
813,B4GALT,273,420,GNb2Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb2Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
814,GNTV,273,423,GNb2Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb6(GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
815,A3SIAT,274,409,GNb2Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb2Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
816,B4GALT,274,421,GNb2Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb2Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
817,GNTV,274,424,GNb2Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb6(GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
818,A3SIAT,275,410,Ab4GNb2Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,NNa3Ab4GNb2Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
819,B4GALT,275,420,Ab4GNb2Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb2Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
820,A3SIAT,276,411,Ab4GNb2Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,NNa3Ab4GNb2Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?
821,B4GALT,276,421,Ab4GNb2Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb2Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
822,A3SIAT,277,410,NNa3Ab4GNb2Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,NNa3Ab4GNb2Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
823,B4GALT,277,422,NNa3Ab4GNb2Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,NNa3Ab4GNb2Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
824,A3SIAT,278,411,NNa3Ab4GNb2Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,NNa3Ab4GNb2Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?
825,B4GALT,278,422,NNa3Ab4GNb2Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,NNa3Ab4GNb2Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
826,B4GALT,279,423,GNb6(GNb2)Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb6(GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
827,B4GALT,279,425,GNb6(GNb2)Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb6(Ab4GNb2)Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
828,B4GALT,279,429,GNb6(GNb2)Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb6(GNb2)Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
829,B4GALT,280,424,GNb6(GNb2)Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb6(GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
830,B4GALT,280,426,GNb6(GNb2)Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?
831,B4GALT,280,430,GNb6(GNb2)Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?
832,A3SIAT,281,412,GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?,GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
833,B4GALT,281,431,GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
834,A3SIAT,282,412,GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?,GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
835,B4GALT,282,432,GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
836,B4GALT,283,427,GNb6(NNa3Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb6(NNa3Ab4GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
837,B4GALT,283,428,GNb6(NNa3Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?
838,B4GALT,283,433,GNb6(NNa3Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?
839,B4GALT,284,431,Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
840,IGNT,284,434,Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?,GNb3Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
841,A3SIAT,284,460,Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?,NNa3Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
842,B4GALT,285,432,Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
843,IGNT,285,435,Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?
844,A3SIAT,285,461,Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?,NNa3Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?
845,A3SIAT,286,413,Ab4GNb2Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb2Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
846,A3SIAT,286,414,Ab4GNb2Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?,NNa3Ab4GNb2Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
