,start,end,edge_list
184,335,439,"(335, 439)"
185,335,447,"(335, 447)"
186,335,448,"(335, 448)"
187,335,452,"(335, 452)"
188,336,439,"(336, 439)"
189,336,446,"(336, 446)"
190,336,447,"(336, 447)"
191,336,454,"(336, 454)"
192,337,440,"(337, 440)"
193,337,448,"(337, 448)"
194,337,497,"(337, 497)"
195,339,443,"(339, 443)"
196,339,446,"(339, 446)"
197,339,449,"(339, 449)"
198,339,485,"(339, 485)"
199,340,444,"(340, 444)"
200,340,445,"(340, 445)"
201,340,448,"(340, 448)"
202,340,449,"(340, 449)"
203,340,486,"(340, 486)"
204,341,447,"(341, 447)"
205,343,450,"(343, 450)"
206,343,452,"(343, 452)"
207,343,454,"(343, 454)"
208,344,451,"(344, 451)"
209,344,452,"(344, 452)"
210,351,461,"(351, 461)"
211,351,462,"(351, 462)"
212,351,500,"(351, 500)"
213,365,462,"(365, 462)"
214,365,486,"(365, 486)"
215,365,487,"(365, 487)"
216,365,497,"(365, 497)"
217,365,520,"(365, 520)"
218,399,545,"(399, 545)"
219,399,548,"(399, 548)"
220,399,550,"(399, 550)"
221,399,585,"(399, 585)"
222,399,605,"(399, 605)"
223,400,547,"(400, 547)"
224,400,586,"(400, 586)"
225,401,546,"(401, 546)"
226,401,547,"(401, 547)"
227,401,549,"(401, 549)"
228,401,587,"(401, 587)"
229,401,602,"(401, 602)"
230,402,545,"(402, 545)"
231,402,547,"(402, 547)"
232,402,549,"(402, 549)"
233,402,584,"(402, 584)"
234,402,598,"(402, 598)"
235,403,550,"(403, 550)"
236,403,588,"(403, 588)"
237,414,545,"(414, 545)"
238,414,546,"(414, 546)"
239,414,556,"(414, 556)"
240,414,571,"(414, 571)"
241,414,574,"(414, 574)"
242,414,575,"(414, 575)"
243,415,548,"(415, 548)"
244,415,556,"(415, 556)"
245,415,577,"(415, 577)"
246,415,582,"(415, 582)"
247,416,548,"(416, 548)"
248,416,549,"(416, 549)"
249,416,589,"(416, 589)"
250,417,549,"(417, 549)"
251,417,556,"(417, 556)"
252,417,578,"(417, 578)"
253,417,581,"(417, 581)"
254,422,558,"(422, 558)"
255,422,560,"(422, 560)"
256,422,663,"(422, 663)"
257,422,684,"(422, 684)"
258,424,558,"(424, 558)"
259,424,562,"(424, 562)"
260,424,673,"(424, 673)"
261,425,562,"(425, 562)"
262,425,563,"(425, 563)"
263,425,642,"(425, 642)"
264,425,643,"(425, 643)"
265,425,647,"(425, 647)"
266,426,563,"(426, 563)"
267,426,564,"(426, 564)"
268,426,576,"(426, 576)"
269,426,579,"(426, 579)"
270,426,646,"(426, 646)"
271,429,560,"(429, 560)"
272,429,562,"(429, 562)"
273,429,567,"(429, 567)"
274,429,681,"(429, 681)"
275,429,682,"(429, 682)"
276,430,563,"(430, 563)"
277,430,567,"(430, 567)"
278,430,568,"(430, 568)"
279,430,599,"(430, 599)"
280,430,600,"(430, 600)"
281,430,631,"(430, 631)"
282,430,632,"(430, 632)"
283,431,564,"(431, 564)"
284,431,568,"(431, 568)"
285,438,571,"(438, 571)"
286,438,577,"(438, 577)"
287,438,580,"(438, 580)"
288,438,585,"(438, 585)"
289,439,571,"(439, 571)"
290,439,576,"(439, 576)"
291,439,578,"(439, 578)"
292,439,579,"(439, 579)"
293,439,584,"(439, 584)"
294,439,587,"(439, 587)"
295,440,580,"(440, 580)"
296,440,641,"(440, 641)"
297,440,648,"(440, 648)"
298,443,574,"(443, 574)"
299,443,576,"(443, 576)"
300,443,581,"(443, 581)"
301,443,598,"(443, 598)"
302,443,631,"(443, 631)"
303,444,575,"(444, 575)"
304,444,579,"(444, 579)"
305,444,581,"(444, 581)"
306,444,602,"(444, 602)"
307,444,632,"(444, 632)"
308,445,575,"(445, 575)"
309,445,580,"(445, 580)"
310,445,582,"(445, 582)"
311,445,605,"(445, 605)"
312,445,634,"(445, 634)"
313,446,576,"(446, 576)"
314,446,583,"(446, 583)"
315,446,642,"(446, 642)"
316,447,577,"(447, 577)"
317,447,578,"(447, 578)"
318,447,583,"(447, 583)"
319,447,589,"(447, 589)"
320,448,579,"(448, 579)"
321,448,580,"(448, 580)"
322,448,583,"(448, 583)"
323,448,643,"(448, 643)"
324,449,581,"(449, 581)"
325,449,582,"(449, 582)"
326,449,583,"(449, 583)"
327,449,633,"(449, 633)"
328,450,584,"(450, 584)"
329,450,586,"(450, 586)"
330,450,587,"(450, 587)"
331,450,646,"(450, 646)"
332,451,585,"(451, 585)"
333,451,588,"(451, 588)"
334,451,648,"(451, 648)"
335,452,584,"(452, 584)"
336,452,585,"(452, 585)"
337,452,589,"(452, 589)"
338,454,587,"(454, 587)"
339,454,589,"(454, 589)"
340,460,598,"(460, 598)"
341,460,599,"(460, 599)"
342,460,602,"(460, 602)"
343,460,646,"(460, 646)"
344,461,600,"(461, 600)"
345,461,601,"(461, 601)"
346,461,603,"(461, 603)"
347,461,647,"(461, 647)"
348,462,603,"(462, 603)"
349,462,604,"(462, 604)"
350,462,649,"(462, 649)"
351,463,605,"(463, 605)"
352,463,606,"(463, 606)"
353,463,648,"(463, 648)"
354,485,601,"(485, 601)"
355,485,631,"(485, 631)"
356,485,633,"(485, 633)"
357,485,642,"(485, 642)"
358,485,681,"(485, 681)"
359,486,603,"(486, 603)"
360,486,632,"(486, 632)"
361,486,633,"(486, 633)"
362,486,634,"(486, 634)"
363,486,643,"(486, 643)"
364,486,682,"(486, 682)"
365,487,604,"(487, 604)"
366,487,606,"(487, 606)"
367,487,634,"(487, 634)"
368,487,641,"(487, 641)"
369,487,683,"(487, 683)"
370,497,641,"(497, 641)"
371,497,643,"(497, 643)"
372,497,649,"(497, 649)"
373,497,673,"(497, 673)"
374,500,647,"(500, 647)"
375,500,649,"(500, 649)"
376,520,673,"(520, 673)"
377,520,682,"(520, 682)"
378,520,683,"(520, 683)"
379,520,684,"(520, 684)"
380,545,713,"(545, 713)"
381,545,714,"(545, 714)"
382,545,721,"(545, 721)"
383,545,745,"(545, 745)"
384,545,767,"(545, 767)"
385,545,776,"(545, 776)"
386,546,713,"(546, 713)"
387,546,722,"(546, 722)"
388,546,746,"(546, 746)"
389,546,774,"(546, 774)"
390,547,713,"(547, 713)"
391,547,723,"(547, 723)"
392,547,747,"(547, 747)"
393,548,721,"(548, 721)"
394,548,724,"(548, 724)"
395,548,748,"(548, 748)"
396,548,777,"(548, 777)"
397,549,721,"(549, 721)"
398,549,722,"(549, 722)"
399,549,723,"(549, 723)"
400,549,749,"(549, 749)"
401,549,770,"(549, 770)"
402,550,714,"(550, 714)"
403,550,724,"(550, 724)"
404,550,750,"(550, 750)"
405,556,721,"(556, 721)"
406,556,722,"(556, 722)"
407,556,726,"(556, 726)"
408,556,739,"(556, 739)"
409,556,741,"(556, 741)"
410,556,742,"(556, 742)"
411,558,727,"(558, 727)"
412,558,827,"(558, 827)"
413,558,856,"(558, 856)"
414,560,727,"(560, 727)"
415,560,729,"(560, 729)"
416,560,838,"(560, 838)"
417,560,866,"(560, 866)"
418,560,870,"(560, 870)"
419,562,727,"(562, 727)"
420,562,731,"(562, 731)"
421,562,853,"(562, 853)"
422,562,854,"(562, 854)"
423,563,731,"(563, 731)"
424,563,732,"(563, 732)"
425,563,805,"(563, 805)"
426,563,806,"(563, 806)"
427,563,810,"(563, 810)"
428,563,811,"(563, 811)"
429,564,732,"(564, 732)"
430,567,729,"(567, 729)"
431,567,731,"(567, 731)"
432,567,734,"(567, 734)"
433,567,837,"(567, 837)"
434,567,865,"(567, 865)"
435,567,867,"(567, 867)"
436,568,732,"(568, 732)"
437,568,734,"(568, 734)"
438,568,735,"(568, 735)"
439,571,738,"(571, 738)"
440,571,739,"(571, 739)"
441,571,740,"(571, 740)"
442,571,745,"(571, 745)"
443,571,746,"(571, 746)"
444,574,738,"(574, 738)"
445,574,741,"(574, 741)"
446,574,767,"(574, 767)"
447,574,798,"(574, 798)"
448,575,740,"(575, 740)"
449,575,742,"(575, 742)"
450,575,774,"(575, 774)"
451,575,776,"(575, 776)"
452,575,800,"(575, 800)"
453,576,738,"(576, 738)"
454,576,743,"(576, 743)"
455,576,805,"(576, 805)"
456,576,817,"(576, 817)"
457,577,739,"(577, 739)"
458,577,744,"(577, 744)"
459,577,748,"(577, 748)"
460,578,739,"(578, 739)"
461,578,743,"(578, 743)"
462,578,749,"(578, 749)"
463,579,740,"(579, 740)"
464,579,743,"(579, 743)"
465,579,806,"(579, 806)"
466,579,812,"(579, 812)"
467,580,740,"(580, 740)"
468,580,744,"(580, 744)"
469,580,807,"(580, 807)"
470,580,813,"(580, 813)"
471,581,741,"(581, 741)"
472,581,742,"(581, 742)"
473,581,743,"(581, 743)"
474,581,770,"(581, 770)"
475,581,799,"(581, 799)"
476,582,742,"(582, 742)"
477,582,744,"(582, 744)"
478,582,777,"(582, 777)"
479,582,801,"(582, 801)"
480,583,743,"(583, 743)"
481,583,744,"(583, 744)"
482,583,808,"(583, 808)"
483,584,745,"(584, 745)"
484,584,747,"(584, 747)"
485,584,749,"(584, 749)"
486,584,817,"(584, 817)"
487,585,745,"(585, 745)"
488,585,748,"(585, 748)"
489,585,750,"(585, 750)"
490,585,813,"(585, 813)"
491,586,747,"(586, 747)"
492,587,746,"(587, 746)"
493,587,747,"(587, 747)"
494,587,749,"(587, 749)"
495,587,812,"(587, 812)"
496,588,750,"(588, 750)"
497,589,748,"(589, 748)"
498,589,749,"(589, 749)"
499,598,767,"(598, 767)"
500,598,768,"(598, 768)"
501,598,770,"(598, 770)"
502,598,817,"(598, 817)"
503,599,751,"(599, 751)"
504,599,768,"(599, 768)"
505,599,771,"(599, 771)"
506,599,810,"(599, 810)"
507,599,837,"(599, 837)"
508,600,751,"(600, 751)"
509,600,769,"(600, 769)"
510,600,772,"(600, 772)"
511,600,811,"(600, 811)"
512,601,769,"(601, 769)"
513,601,773,"(601, 773)"
514,601,818,"(601, 818)"
515,602,770,"(602, 770)"
516,602,771,"(602, 771)"
517,602,774,"(602, 774)"
518,602,812,"(602, 812)"
519,603,772,"(603, 772)"
520,603,773,"(603, 773)"
521,603,775,"(603, 775)"
522,603,815,"(603, 815)"
523,604,752,"(604, 752)"
524,604,775,"(604, 775)"
525,604,816,"(604, 816)"
526,605,776,"(605, 776)"
527,605,777,"(605, 777)"
528,605,778,"(605, 778)"
529,605,813,"(605, 813)"
530,606,752,"(606, 752)"
531,606,778,"(606, 778)"
532,606,814,"(606, 814)"
533,606,839,"(606, 839)"
534,631,768,"(631, 768)"
535,631,769,"(631, 769)"
536,631,798,"(631, 798)"
537,631,799,"(631, 799)"
538,631,805,"(631, 805)"
539,631,865,"(631, 865)"
540,632,771,"(632, 771)"
541,632,772,"(632, 772)"
542,632,799,"(632, 799)"
543,632,800,"(632, 800)"
544,632,806,"(632, 806)"
545,632,867,"(632, 867)"
546,633,773,"(633, 773)"
547,633,799,"(633, 799)"
548,633,801,"(633, 801)"
549,633,808,"(633, 808)"
550,633,868,"(633, 868)"
551,634,775,"(634, 775)"
552,634,778,"(634, 778)"
553,634,800,"(634, 800)"
554,634,801,"(634, 801)"
555,634,807,"(634, 807)"
556,634,869,"(634, 869)"
557,641,807,"(641, 807)"
558,641,814,"(641, 814)"
559,641,816,"(641, 816)"
560,641,855,"(641, 855)"
561,642,805,"(642, 805)"
562,642,808,"(642, 808)"
563,642,818,"(642, 818)"
564,642,853,"(642, 853)"
565,643,806,"(643, 806)"
566,643,807,"(643, 807)"
567,643,808,"(643, 808)"
568,643,815,"(643, 815)"
569,643,854,"(643, 854)"
570,646,810,"(646, 810)"
571,646,812,"(646, 812)"
572,646,817,"(646, 817)"
573,647,811,"(647, 811)"
574,647,815,"(647, 815)"
575,647,818,"(647, 818)"
576,648,813,"(648, 813)"
577,648,814,"(648, 814)"
578,649,815,"(649, 815)"
579,649,816,"(649, 816)"
580,663,827,"(663, 827)"
581,663,838,"(663, 838)"
582,663,840,"(663, 840)"
583,673,854,"(673, 854)"
584,673,855,"(673, 855)"
585,673,856,"(673, 856)"
586,681,853,"(681, 853)"
587,681,865,"(681, 865)"
588,681,866,"(681, 866)"
589,681,868,"(681, 868)"
590,682,854,"(682, 854)"
591,682,867,"(682, 867)"
592,682,868,"(682, 868)"
593,682,869,"(682, 869)"
594,682,870,"(682, 870)"
595,683,839,"(683, 839)"
596,683,855,"(683, 855)"
597,683,869,"(683, 869)"
598,683,871,"(683, 871)"
599,684,840,"(684, 840)"
600,684,856,"(684, 856)"
601,684,870,"(684, 870)"
602,684,871,"(684, 871)"
603,713,908,"(713, 908)"
604,713,909,"(713, 909)"
605,713,927,"(713, 927)"
606,713,938,"(713, 938)"
607,714,909,"(714, 909)"
608,714,910,"(714, 910)"
609,714,928,"(714, 928)"
610,714,935,"(714, 935)"
611,721,908,"(721, 908)"
612,721,910,"(721, 910)"
613,721,914,"(721, 914)"
614,721,929,"(721, 929)"
615,721,958,"(721, 958)"
616,721,965,"(721, 965)"
617,722,908,"(722, 908)"
618,722,914,"(722, 914)"
619,722,930,"(722, 930)"
620,722,961,"(722, 961)"
621,723,908,"(723, 908)"
622,723,931,"(723, 931)"
623,724,910,"(724, 910)"
624,724,932,"(724, 932)"
625,726,914,"(726, 914)"
626,726,923,"(726, 923)"
627,726,924,"(726, 924)"
628,727,915,"(727, 915)"
629,727,1010,"(727, 1010)"
630,727,1047,"(727, 1047)"
631,727,1051,"(727, 1051)"
632,729,915,"(729, 915)"
633,729,917,"(729, 917)"
634,729,1026,"(729, 1026)"
635,729,1027,"(729, 1027)"
636,729,1060,"(729, 1060)"
637,729,1064,"(729, 1064)"
638,731,915,"(731, 915)"
639,731,919,"(731, 919)"
640,731,1009,"(731, 1009)"
641,731,1046,"(731, 1046)"
642,731,1048,"(731, 1048)"
643,732,919,"(732, 919)"
644,732,920,"(732, 920)"
645,734,917,"(734, 917)"
646,734,919,"(734, 919)"
647,734,922,"(734, 922)"
648,735,920,"(735, 920)"
649,735,922,"(735, 922)"
650,738,925,"(738, 925)"
651,738,981,"(738, 981)"
652,738,993,"(738, 993)"
653,739,924,"(739, 924)"
654,739,925,"(739, 925)"
655,739,926,"(739, 926)"
656,739,929,"(739, 929)"
657,739,930,"(739, 930)"
658,740,926,"(740, 926)"
659,740,982,"(740, 982)"
660,740,987,"(740, 987)"
661,740,988,"(740, 988)"
662,741,923,"(741, 923)"
663,741,925,"(741, 925)"
664,741,958,"(741, 958)"
665,741,978,"(741, 978)"
666,742,923,"(742, 923)"
667,742,926,"(742, 926)"
668,742,961,"(742, 961)"
669,742,965,"(742, 965)"
670,742,979,"(742, 979)"
671,743,925,"(743, 925)"
672,743,926,"(743, 926)"
673,743,983,"(743, 983)"
674,743,996,"(743, 996)"
675,744,926,"(744, 926)"
676,744,984,"(744, 984)"
677,744,998,"(744, 998)"
678,745,927,"(745, 927)"
679,745,928,"(745, 928)"
680,745,929,"(745, 929)"
681,745,988,"(745, 988)"
682,745,993,"(745, 993)"
683,746,927,"(746, 927)"
684,746,930,"(746, 930)"
685,746,987,"(746, 987)"
686,747,927,"(747, 927)"
687,747,931,"(747, 931)"
688,748,929,"(748, 929)"
689,748,932,"(748, 932)"
690,748,998,"(748, 998)"
691,749,929,"(749, 929)"
692,749,930,"(749, 930)"
693,749,931,"(749, 931)"
694,749,996,"(749, 996)"
695,750,928,"(750, 928)"
696,750,932,"(750, 932)"
697,751,936,"(751, 936)"
698,751,937,"(751, 937)"
699,751,985,"(751, 985)"
700,752,939,"(752, 939)"
701,752,986,"(752, 986)"
702,767,935,"(767, 935)"
703,767,956,"(767, 956)"
704,767,958,"(767, 958)"
705,767,993,"(767, 993)"
706,768,936,"(768, 936)"
707,768,956,"(768, 956)"
708,768,959,"(768, 959)"
709,768,994,"(768, 994)"
710,768,1025,"(768, 1025)"
711,769,936,"(769, 936)"
712,769,957,"(769, 957)"
713,769,960,"(769, 960)"
714,769,995,"(769, 995)"
715,770,958,"(770, 958)"
716,770,959,"(770, 959)"
717,770,961,"(770, 961)"
718,770,996,"(770, 996)"
719,771,937,"(771, 937)"
720,771,959,"(771, 959)"
721,771,962,"(771, 962)"
722,771,989,"(771, 989)"
723,771,1029,"(771, 1029)"
724,772,937,"(772, 937)"
725,772,960,"(772, 960)"
726,772,963,"(772, 963)"
727,772,991,"(772, 991)"
728,773,960,"(773, 960)"
729,773,964,"(773, 964)"
730,773,997,"(773, 997)"
731,774,938,"(774, 938)"
732,774,961,"(774, 961)"
733,774,962,"(774, 962)"
734,774,987,"(774, 987)"
735,775,939,"(775, 939)"
736,775,963,"(775, 963)"
737,775,964,"(775, 964)"
738,775,992,"(775, 992)"
739,776,938,"(776, 938)"
740,776,965,"(776, 965)"
741,776,966,"(776, 966)"
742,776,988,"(776, 988)"
743,777,965,"(777, 965)"
744,777,967,"(777, 967)"
745,777,998,"(777, 998)"
746,778,939,"(778, 939)"
747,778,966,"(778, 966)"
748,778,967,"(778, 967)"
749,778,990,"(778, 990)"
750,778,1030,"(778, 1030)"
751,798,956,"(798, 956)"
752,798,957,"(798, 957)"
753,798,978,"(798, 978)"
754,798,981,"(798, 981)"
755,798,1059,"(798, 1059)"
756,799,959,"(799, 959)"
757,799,960,"(799, 960)"
758,799,978,"(799, 978)"
759,799,979,"(799, 979)"
760,799,983,"(799, 983)"
761,799,1061,"(799, 1061)"
762,800,962,"(800, 962)"
763,800,963,"(800, 963)"
764,800,966,"(800, 966)"
765,800,979,"(800, 979)"
766,800,982,"(800, 982)"
767,800,1062,"(800, 1062)"
768,801,964,"(801, 964)"
769,801,967,"(801, 967)"
770,801,979,"(801, 979)"
771,801,984,"(801, 984)"
772,801,1063,"(801, 1063)"
773,805,981,"(805, 981)"
774,805,983,"(805, 983)"
775,805,994,"(805, 994)"
776,805,995,"(805, 995)"
777,805,1046,"(805, 1046)"
778,806,982,"(806, 982)"
779,806,983,"(806, 983)"
780,806,989,"(806, 989)"
781,806,991,"(806, 991)"
782,806,1048,"(806, 1048)"
783,807,982,"(807, 982)"
784,807,984,"(807, 984)"
785,807,990,"(807, 990)"
786,807,992,"(807, 992)"
787,807,1050,"(807, 1050)"
788,808,983,"(808, 983)"
789,808,984,"(808, 984)"
790,808,997,"(808, 997)"
791,808,1049,"(808, 1049)"
792,810,985,"(810, 985)"
793,810,989,"(810, 989)"
794,810,994,"(810, 994)"
795,810,1009,"(810, 1009)"
796,811,985,"(811, 985)"
797,811,991,"(811, 991)"
798,811,995,"(811, 995)"
799,812,987,"(812, 987)"
800,812,989,"(812, 989)"
801,812,996,"(812, 996)"
802,813,988,"(813, 988)"
803,813,990,"(813, 990)"
804,813,998,"(813, 998)"
805,814,986,"(814, 986)"
806,814,990,"(814, 990)"
807,814,1011,"(814, 1011)"
808,815,991,"(815, 991)"
809,815,992,"(815, 992)"
810,815,997,"(815, 997)"
811,816,986,"(816, 986)"
812,816,992,"(816, 992)"
813,817,993,"(817, 993)"
814,817,994,"(817, 994)"
815,817,996,"(817, 996)"
816,818,995,"(818, 995)"
817,818,997,"(818, 997)"
818,827,1010,"(827, 1010)"
819,827,1012,"(827, 1012)"
820,837,1009,"(837, 1009)"
821,837,1025,"(837, 1025)"
822,837,1026,"(837, 1026)"
823,837,1029,"(837, 1029)"
824,838,1010,"(838, 1010)"
825,838,1027,"(838, 1027)"
826,838,1028,"(838, 1028)"
827,838,1032,"(838, 1032)"
828,839,1011,"(839, 1011)"
829,839,1030,"(839, 1030)"
830,839,1031,"(839, 1031)"
831,840,1012,"(840, 1012)"
832,840,1032,"(840, 1032)"
833,840,1033,"(840, 1033)"
834,853,1046,"(853, 1046)"
835,853,1047,"(853, 1047)"
836,853,1049,"(853, 1049)"
837,854,1048,"(854, 1048)"
838,854,1049,"(854, 1049)"
839,854,1050,"(854, 1050)"
840,854,1051,"(854, 1051)"
841,855,1011,"(855, 1011)"
842,855,1050,"(855, 1050)"
843,855,1052,"(855, 1052)"
844,856,1012,"(856, 1012)"
845,856,1051,"(856, 1051)"
846,856,1052,"(856, 1052)"
847,865,1025,"(865, 1025)"
848,865,1046,"(865, 1046)"
849,865,1059,"(865, 1059)"
850,865,1060,"(865, 1060)"
851,865,1061,"(865, 1061)"
852,866,1028,"(866, 1028)"
853,866,1047,"(866, 1047)"
854,866,1060,"(866, 1060)"
855,866,1065,"(866, 1065)"
856,867,1029,"(867, 1029)"
857,867,1048,"(867, 1048)"
858,867,1061,"(867, 1061)"
859,867,1062,"(867, 1062)"
860,867,1064,"(867, 1064)"
861,868,1049,"(868, 1049)"
862,868,1061,"(868, 1061)"
863,868,1063,"(868, 1063)"
864,868,1065,"(868, 1065)"
865,869,1030,"(869, 1030)"
866,869,1050,"(869, 1050)"
867,869,1062,"(869, 1062)"
868,869,1063,"(869, 1063)"
869,869,1066,"(869, 1066)"
870,870,1032,"(870, 1032)"
871,870,1051,"(870, 1051)"
872,870,1064,"(870, 1064)"
873,870,1065,"(870, 1065)"
874,870,1066,"(870, 1066)"
875,871,1031,"(871, 1031)"
876,871,1033,"(871, 1033)"
877,871,1052,"(871, 1052)"
878,871,1066,"(871, 1066)"
879,908,1109,"(908, 1109)"
880,908,1111,"(908, 1111)"
881,908,1119,"(908, 1119)"
882,908,1133,"(908, 1133)"
883,909,1111,"(909, 1111)"
884,909,1120,"(909, 1120)"
885,910,1110,"(910, 1110)"
886,910,1111,"(910, 1111)"
887,910,1121,"(910, 1121)"
888,910,1130,"(910, 1130)"
889,914,1109,"(914, 1109)"
890,914,1110,"(914, 1110)"
891,914,1122,"(914, 1122)"
892,914,1150,"(914, 1150)"
893,914,1153,"(914, 1153)"
894,915,1113,"(915, 1113)"
895,915,1197,"(915, 1197)"
896,915,1198,"(915, 1198)"
897,915,1237,"(915, 1237)"
898,915,1241,"(915, 1241)"
899,917,1113,"(917, 1113)"
900,917,1115,"(917, 1115)"
901,919,1113,"(919, 1113)"
902,919,1116,"(919, 1116)"
903,920,1116,"(920, 1116)"
904,922,1115,"(922, 1115)"
905,922,1116,"(922, 1116)"
906,922,1117,"(922, 1117)"
907,923,1118,"(923, 1118)"
908,923,1150,"(923, 1150)"
909,923,1153,"(923, 1153)"
910,923,1158,"(923, 1158)"
911,924,1118,"(924, 1118)"
912,924,1122,"(924, 1122)"
913,925,1118,"(925, 1118)"
914,925,1159,"(925, 1159)"
