,EPO127.mgat1.,EPO174.mgat2.,EPO266.fut8.,st3gal4.st3gal6.mgat4a.mgat4b.mgat5,KI_ST6GalNAc1.st3gal4.st3gal6.mgat4a.mgat4b.mgat5,mgat4A.mgat4B.mgat5,B3gnt2.mgat4a.mgat4b.mgat5,st3gal4.st3gal6,EPO78.mgat4B.,mgat5,mgat4A.mgat4B,B4GalT1,B4GalT4,B4GalT2,B4GalT3,WT
20,-0.712,-0.712,-0.712,-0.712,1.282,-0.712,-0.472,-0.595,0.124,0.917,3.155,-0.587,-0.188,0.245,-0.066,0.0
29,0.0,0.0,0.0,0.0,4.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-1.222,-1.222,0.7310000000000001,-1.222,-1.222,-1.222,-0.6910000000000001,-0.964,0.30800000000000005,2.395,-1.222,-0.946,-0.131,0.742,-0.044999999999999984,0.0
21,-1.251,-1.251,-1.251,-1.251,-1.251,-1.251,-0.7070000000000001,-0.986,0.31599999999999995,2.452,-1.251,-0.968,-0.133,0.76,-0.044999999999999984,0.0
18,-0.46699999999999997,3.717,0.29700000000000004,-0.46699999999999997,-0.46699999999999997,-0.46699999999999997,-0.46699999999999997,-0.372,0.11200000000000002,0.865,0.591,-0.366,-0.062,0.264,-0.021999999999999992,0.0
22,-0.46199999999999997,3.6769999999999996,-0.46199999999999997,-0.46199999999999997,-0.46199999999999997,-0.46199999999999997,-0.46199999999999997,-0.368,0.11099999999999999,0.856,0.585,-0.362,-0.061,0.261,-0.02100000000000002,0.0
8,-2.205,-2.205,0.21199999999999997,0.11199999999999999,-2.205,-0.133,-0.05500000000000005,0.07999999999999996,-0.278,0.21199999999999997,-2.205,-1.5899999999999999,0.019000000000000017,0.04700000000000004,0.21199999999999997,0.0
13,-2.113,-2.113,-2.113,0.10599999999999998,-2.113,-0.128,-0.05300000000000005,0.07599999999999996,-0.267,0.20199999999999996,-2.113,-1.5230000000000001,0.018000000000000016,0.04400000000000004,0.20199999999999996,0.0
9,-2.326,-1.53,0.09499999999999997,-2.326,-2.326,-2.326,-2.326,-0.8290000000000001,-0.19900000000000007,-0.7260000000000001,-2.326,-1.5830000000000002,-0.40900000000000003,-0.30900000000000005,0.29499999999999993,0.0
14,-2.384,-1.5679999999999998,-2.384,-2.384,-2.384,-2.384,-2.384,-0.8499999999999999,-0.20399999999999996,-0.7449999999999999,-2.384,-1.6219999999999999,-0.41999999999999993,-0.31699999999999995,0.30200000000000005,0.0
12,-2.1390000000000002,-2.1390000000000002,-1.039,-2.1390000000000002,-2.1390000000000002,-2.1390000000000002,-2.1390000000000002,-0.54,0.19100000000000006,0.2550000000000001,0.09000000000000008,-1.213,-0.17699999999999994,-0.03599999999999992,0.10099999999999998,0.0
19,-2.098,-2.098,0.17900000000000005,-2.098,-2.098,-2.098,-2.098,-0.5009999999999999,-0.4149999999999999,0.15400000000000014,-2.098,-1.482,-0.19799999999999995,-0.08699999999999997,0.254,0.0
23,-2.1470000000000002,-2.1470000000000002,-2.1470000000000002,-2.1470000000000002,-2.1470000000000002,-2.1470000000000002,-2.1470000000000002,-0.5120000000000001,-0.42500000000000004,0.15799999999999992,-2.1470000000000002,-1.5170000000000001,-0.20200000000000018,-0.08900000000000019,0.2609999999999999,0.0
24,-0.735,-0.735,0.62,-0.735,-0.735,-0.735,-0.735,-0.615,0.128,0.948,3.2609999999999997,-0.607,-0.195,0.253,-0.068,0.0
26,-0.737,-0.737,-0.737,-0.737,-0.737,-0.737,-0.737,-0.617,0.128,0.9500000000000001,3.268,-0.608,-0.195,0.254,-0.068,0.0
25,-1.213,-1.213,0.7489999999999999,-1.213,-1.213,-1.213,-1.213,-0.9610000000000001,0.299,2.315,-1.213,-0.9430000000000001,-0.14399999999999996,0.7130000000000001,-0.04899999999999999,0.0
27,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-0.99,0.30799999999999994,2.385,-1.25,-0.972,-0.14900000000000002,0.734,-0.051000000000000045,0.0
31,-1.4620000000000002,-1.4620000000000002,2.439,-1.4620000000000002,-1.4620000000000002,-1.4620000000000002,-1.4620000000000002,-1.4620000000000002,-0.139,-1.4620000000000002,-1.4620000000000002,-1.4620000000000002,-1.175,-0.809,-0.42000000000000004,0.0
33,-2.902,-2.902,-2.902,-2.902,-2.902,-2.902,-2.902,-2.902,-0.27700000000000014,-2.902,-2.902,-2.902,-2.3329999999999997,-1.607,-0.835,0.0
15,-2.453,-2.453,-0.633,-2.453,-2.453,-2.453,-2.453,-2.453,-2.453,-2.453,-0.21300000000000008,-1.68,-0.765,-0.4810000000000001,-0.15399999999999991,0.0
28,-0.764,-0.764,0.608,-0.764,-0.764,-0.764,-0.764,-0.764,-0.764,-0.764,3.2640000000000002,-0.623,-0.179,0.30200000000000005,-0.063,0.0
32,-0.777,-0.777,-0.777,-0.777,-0.777,-0.777,-0.777,-0.777,-0.777,-0.777,3.318,-0.633,-0.182,0.307,-0.064,0.0
30,-2.3569999999999998,-2.3569999999999998,-0.10999999999999988,-2.3569999999999998,-2.3569999999999998,-2.3569999999999998,-2.3569999999999998,-2.3569999999999998,-2.3569999999999998,-2.3569999999999998,-2.3569999999999998,-1.8299999999999998,-0.69,-0.22499999999999987,0.05900000000000016,0.0
34,-1.837,-1.837,1.8870000000000002,-1.837,-1.837,-1.837,-1.837,-1.837,-1.837,-1.837,-1.837,-1.5879999999999999,-1.399,-1.029,-0.2509999999999999,0.0
35,-2.646,-2.646,-2.646,-2.646,-2.646,-2.646,-2.646,-2.646,-2.646,-2.646,-2.025,-2.005,-0.8570000000000002,-0.3900000000000001,-0.018000000000000016,0.0
