,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
151,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,0.4054671477895174,1.0000000000000002,1.0000000000000002,1.0,0.5721793867839288,0.07452487170891461,0.9605438826167547,1.0,1.0,1.0,0.7348168752897538,1.0,1.0,0.9182249105766711,0.9863818424566089,0.9895156873484077,0.9856074766355141,0.9999999999999999,1.0,0.0,0.4762532981530343,1.0,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.9999999999999999
163,0.8934955882835308,0.846767545925577,0.9747411860969798,0.6678368611254517,0.0,0.7963967705926637,0.8196196827685653,0.8785693833459147,0.9355370298565335,0.8711975182217939,0.585703602465252,0.703197708330633,0.9761552188935718,0.7548236716018475,0.8722569209993248,0.6213877298717351,0.8940253777976153,0.9426676432291666,0.630994271090819,0.0,0.0,0.0,0.883142589793421,0.9001781235232106,0.0,1.0,0.8764271578626883,0.9088211334807401,0.9399754845629358,0.0,0.0,0.0,0.0,0.9188807967989866
167,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,0.4054671477895174,1.0000000000000002,1.0000000000000002,1.0,0.5721793867839288,0.07452487170891461,0.9605438826167547,1.0,1.0,1.0,0.7348168752897538,1.0,1.0,0.9182249105766711,0.9863818424566089,0.9895156873484077,0.9856074766355141,0.9999999999999999,1.0,1.0,0.4762532981530343,1.0,1.0,1.0000000000000002,0.0,0.35885106110149384,0.9342935894016182,0.6173037849076218,0.0
168,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,0.7963967705926637,1.0000000000000002,1.0000000000000002,1.0,0.8711975182217939,0.585703602465252,0.9837457387652466,1.0,1.0,1.0,0.8750150242964333,1.0,1.0,0.9552447145723673,0.9863818424566089,0.9895156873484077,0.9856074766355141,0.9999999999999999,1.0,0.0,1.0,1.0,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0
173,0.05687670154492079,0.02726095148374941,0.06602867409014906,0.011099638616417138,0.022814237239188507,0.011863658783520678,0.04774242970439798,0.08631595387458678,0.05370298565335402,0.0007680260225287632,0.0,0.036798921567356674,0.0,0.0202011481849182,0.12909351789331533,0.02457116365322206,0.3428553210482689,0.28466796875000006,0.034140809026667045,0.0,0.15867303027932084,0.0,0.054343914201396386,0.06303391617288887,0.487651077246453,0.0,0.0,0.5818689631095078,0.05784110932352716,0.0,0.017118676668590113,0.045167600248955275,0.6173037849076218,0.09562739284377789
184,0.8934955882835308,0.846767545925577,0.9747411860969798,0.6678368611254517,0.0,0.7963967705926637,0.8196196827685653,0.8785693833459147,0.9355370298565335,0.8711975182217939,0.585703602465252,0.703197708330633,0.9761552188935718,0.7548236716018475,0.8722569209993248,0.6213877298717351,0.8940253777976153,0.9426676432291666,0.630994271090819,0.0,0.0,0.0,0.883142589793421,0.9001781235232106,1.0,1.0,0.8764271578626883,0.9088211334807401,0.9399754845629358,0.0,0.263512213887286,0.0,0.0,0.0
211,0.8934955882835308,0.846767545925577,0.9747411860969798,0.6678368611254517,0.0,0.2951117572233327,0.8196196827685653,0.8785693833459147,0.9355370298565335,0.3884856333955785,0.020913380953608913,0.6403582677675667,0.9761552188935718,0.7548236716018475,0.8476958136394328,0.34193581620563523,0.8755658993814959,0.907958984375,0.593974467095123,0.0,0.0,0.0,0.883142589793421,0.9001781235232106,0.9686459975477317,0.0,0.8764271578626883,0.9088211334807401,0.9399754845629358,0.0,0.263512213887286,0.0,0.0,0.9188807967989866
212,0.8934955882835308,0.846767545925577,0.9221601622256218,0.6678368611254517,0.0,0.3465901715947146,0.8196196827685653,0.8785693833459147,0.9355370298565335,0.45608698271188475,0.07452487170891461,0.458048710935981,0.9406538330105936,0.6743859800578409,0.05156988521269413,0.11981661773038679,0.031116495568449917,0.0,0.4406025532904877,0.0,0.0,0.0,0.883142589793421,0.9001781235232106,1.0,0.4762532981530343,0.8764271578626883,0.9088211334807401,0.9399754845629358,0.0,0.11322690260947617,0.0,0.0,0.9188807967989866
213,0.9835667661626268,0.9713259538389072,0.9221601622256218,0.9683531233866803,0.9734315211898058,0.3465901715947146,0.9847242249459266,1.0000000000000002,1.0,0.45608698271188475,0.07452487170891461,0.7391670663262,1.0,0.9263607717874565,0.05156988521269413,0.1641855114270505,0.031116495568449917,0.0,0.9182249105766711,0.9522696929238985,0.0,0.9856074766355141,0.9819693370762254,1.0,0.0,0.4762532981530343,0.9809331709544832,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.9999999999999999
214,0.8934955882835308,0.846767545925577,0.9747411860969798,0.6678368611254517,0.0,0.4054671477895174,0.8196196827685653,0.8785693833459147,0.9355370298565335,0.5721793867839288,0.07452487170891461,0.6610714332006896,0.9761552188935718,0.7548236716018475,0.8722569209993248,0.3954051408849738,0.8940253777976153,0.9426676432291666,0.593974467095123,0.0,0.0,0.0,0.883142589793421,0.9001781235232106,0.0,0.4762532981530343,0.8764271578626883,0.9088211334807401,0.9399754845629358,0.0,0.0,0.0,0.0,0.9188807967989866
