,WT,mgat4A,mgat4A/mgat4B,mgat5,mgat4A/mgat4B/mgat5,B4GalT1,B4GalT2,B4GalT3,B4GalT4,B4GalT1/B4GalT2,B4GalT1/B4GalT3,B3gnt1,B3gnt2,st3gal3,st3gal4,st3gal6,st3gal3/st3gal4,st3gal4/st3gal6,KI_ST6GalNAc1/st3gal4/st3gal6,B3gnt2/mgat4a/mgat4b/mgat5,st3gal4/st3gal6/mgat4a/mgat4b/mgat5,KI_ST6GalNAc1/st3gal4/st3gal6/mgat4a/mgat4b/mgat5,EPO48(mgat3),EPO143(mgat4C),EPO174(mgat2),EPO200(B4galt1/B4galt2/B4galt3),EPO275(B3gnt8),EPO78(mgat4B),EPO104(mgat5B),EPO127(mgat1),EPO259(mgat2/st3gal4/st3gal6),EPO261(mgat2/mgat4A/mgat4B/mgat5),EPO263(mgat2/st3gal4/st3gal6/magt4A/mgat4B/mgat5),EPO266(fut8)
400,0.7706563453275167,0.7342498822421102,0.4217866163862108,0.8998451213216314,0.7219695328857122,0.20876924275070743,0.7917042177361211,0.7956633781919464,1.0,0.06999578338654297,0.003842285773227778,0.2776834437257774,0.8546151801647872,0.5157120041438253,0.0,0.03688250141657652,0.0,0.0,0.4755285427632537,0.6675567423230975,0.0,0.9345794392523364,0.9395378967825525,0.9571412992111673,0.0,0.0,0.9360633277515604,0.92947539210384,1.0,0.0,0.0,0.0,0.0,1.0
401,0.8934955882835307,0.846767545925577,0.4217866163862108,0.6678368611254518,0.0,0.20876924275070743,0.8196196827685651,0.8785693833459147,0.9355370298565335,0.13774772604059995,0.003842285773227778,0.5789187157318955,0.9761552188935718,0.7548236716018475,0.05156988521269413,0.1641855114270506,0.031116495568449917,0.0,0.5939744670951232,0.0,0.0,0.0,0.8831425897934213,0.9001781235232106,0.0,0.0,0.8764271578626883,0.9152514872904274,0.9399754845629357,0.0,0.0,0.0,0.0,0.9188807967989867
403,0.802177977498606,0.739195713612812,0.6950087160695861,0.5162622612287042,0.0,0.2563017574829314,0.6609589041095889,0.6957336595777911,0.9037902287708415,0.24679236190590928,0.02091338095360891,0.2637364061750639,0.8583361810380834,0.5484525402512195,0.0,0.04847267295111523,0.0,0.0,0.20882891790502223,0.0,0.0,0.0,0.7829482473187936,0.7989748809480534,0.2744788929760028,0.0,0.7704749581367027,0.1533261222282315,0.8333333333333333,0.0,0.031352183112136944,0.0,0.0,0.8349981289041135
414,0.8934955882835307,0.846767545925577,0.9747411860969796,0.6678368611254518,0.0,0.20876924275070743,0.8196196827685651,0.8785693833459147,0.9355370298565335,0.13774772604059995,0.003842285773227778,0.6403582677675668,0.9761552188935718,0.7548236716018475,0.8476958136394328,0.3419358162056354,0.875565899381496,0.907958984375,0.5939744670951232,0.0,0.0,0.0,0.8831425897934213,0.9001781235232106,0.0,0.0,0.8764271578626883,0.9152514872904274,0.9399754845629357,0.0,0.0,0.0,0.0,0.9188807967989867
416,0.802177977498606,0.739195713612812,0.0,0.0,0.0,0.29550115521403914,0.5521359048305694,0.6448707603404743,0.7520356727413726,0.45608698271188475,0.048479847340055185,0.31415831702290375,0.7238865474427613,0.5484525402512195,0.05156988521269413,0.10115214890365563,0.031116495568449917,0.0,0.35551225753918636,0.0,0.0,0.0,0.6809184481393509,0.6959176996619288,0.0,0.2717678100263852,0.6625818237174608,0.0,0.7247376082126714,0.0,0.0,0.0,0.0,0.5952387806212038
422,0.00734739397120084,0.0,0.006296915578640292,0.0,0.0,0.0,0.0014419610670511893,0.0032797980060910534,0.005234587049243893,0.0,0.0,0.0,0.0,0.0,0.005443956785955435,0.0,0.10999171076962316,0.06070963541666667,0.005147294035536686,0.0,0.020968625303184413,0.0,0.0,0.008142789632483915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10305722251098615,0.019603327672068856
426,0.05687670154492079,0.027260951483749414,0.06602867409014905,0.01109963861641714,0.022814237239188507,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05370298565335402,0.0007680260225287634,0.0,0.036798921567356674,0.0,0.020201148184918204,0.1290935178933153,0.024571163653222074,0.3428553210482689,0.28466796875000006,0.03414080902666706,0.0,0.15867303027932084,0.0,0.05434391420139639,0.06303391617288888,0.0,0.0,0.0,0.5408328826392645,0.05784110932352716,0.0,0.0,0.0,0.0,0.0
439,0.8934955882835307,0.846767545925577,0.9747411860969796,0.6678368611254518,0.0,0.20876924275070743,0.8196196827685651,0.8785693833459147,0.9355370298565335,0.13774772604059995,0.003842285773227778,0.6610714332006897,0.9761552188935718,0.7548236716018475,0.8722569209993247,0.395405140884974,0.8940253777976153,0.9426676432291667,0.5939744670951232,0.0,0.0,0.0,0.8831425897934213,0.9001781235232106,0.0,0.0,0.8764271578626883,0.9152514872904274,0.9399754845629357,0.0,0.0,0.0,0.0,0.0
440,0.05687670154492079,0.027260951483749414,0.06602867409014905,0.01109963861641714,0.0,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05370298565335402,0.0007680260225287634,0.0,0.036798921567356674,0.0,0.020201148184918204,0.1290935178933153,0.024571163653222074,0.3428553210482689,0.28466796875000006,0.03414080902666706,0.0,0.0,0.0,0.05434391420139639,0.06303391617288888,0.48765107724645296,0.0,0.0,0.5408328826392645,0.05784110932352716,0.0,0.01711867666859011,0.0,0.0,0.0
447,0.802177977498606,0.739195713612812,0.0,0.0,0.0,0.3543781314088419,0.5521359048305694,0.6448707603404743,0.7520356727413726,0.5721793867839288,0.048479847340055185,0.32863679373679505,0.7238865474427613,0.5484525402512195,0.6508693450371371,0.18480743144628173,0.7131607473060002,0.7407633463541666,0.35551225753918636,0.0,0.0,0.0,0.6809184481393509,0.6959176996619288,0.0,0.2717678100263852,0.6625818237174608,0.0,0.7247376082126714,0.0,0.0,0.0,0.0,0.0
