"","154_","176_","189_","182_","195_","199_","190_","197_","200_","201_","108_","139_","164_","148_","173_","187_","165_","184_","188_","196_"
"108_",0.17916232379209,-0.0494922907408838,-0.0108821424446262,-0.112842664149227,0.0578292769736615,-0.0489867461605176,-0.00826349996525941,0.00178365716576454,-0.0138499593230503,-0.0503618498692254,1,0.494624039455976,-0.0292901961608203,0.602589338846997,-0.100874598324844,-0.208627987334362,0.141764829838339,-0.0765805679030981,-0.00851669598778367,-0.00050474627107513
"139_",-0.0657387647846753,0.015948132994562,0.0879446416555619,-0.0582285001460118,-0.0161058838563879,-0.0776867122979265,0.110352127199685,-0.101217127799944,-0.0358291802246468,-0.0195326220378482,0.494624039455977,1,0.485413764913518,-0.109350545344938,0.398804880119365,-0.0369431715279726,0.000616866945378618,0.000942314894526746,0.0168485150827026,-0.149566634464212
"164_",0.157761520669247,-0.0907606290619106,0.111227566404286,0.00240187976696517,-0.0505780351873606,0.0865999059954811,0.0408472526879358,-0.0912160262528674,-0.0816198739895433,-0.0337609909901302,-0.0292901961608201,0.485413764913518,1,-0.131778230946758,0.10209906438661,0.182211455827353,-0.311542618337493,0.530668876999412,-0.0221515960179716,-0.00274178698460955
"148_",-0.271795541474271,0.0267590166271427,0.0313757590749308,0.311198426124569,-0.063172171241118,-0.109096055381868,0.00868576260538266,-0.0170518439875815,0.00559937551863467,0.0174031390682813,0.602589338846996,-0.109350545344939,-0.131778230946758,1,0.418746654835133,0.0593668600530709,0.00836242138678221,-0.0428437169555752,0.015591850174628,0.029612558290444
"173_",-0.0173902161311598,0.027482202811127,-0.184728233273705,-0.0678271826213323,0.123645521272338,0.0938555798181387,-0.0908114525451279,-0.00976752992308797,0.0377181484851536,0.0225328877654127,-0.100874598324843,0.398804880119365,0.10209906438661,0.418746654835133,1,0.285930650140734,-0.0699701076775735,0.0633224347261866,-0.0299238162492717,-0.00152887233881317
"187_",-0.0227289757003911,-0.00988384418444846,0.0137291462563669,-0.0140379241953883,-0.0303795473342401,0.156513810871064,0.058139075512978,-0.127851788788425,-0.0810261053080261,-0.0181228084764876,-0.208627987334362,-0.0369431715279728,0.182211455827353,0.0593668600530714,0.285930650140734,1,0.248392768439407,0.0643421933037288,0.0435219927817141,0.311781042543869
"165_",0.0463010112799626,0.248811433025808,-0.106462030196026,0.00582111907332718,-0.0395718574946733,-0.105892147308236,-0.162908519910166,0.115078142934555,0.254671352368977,-0.211471597399784,0.141764829838339,0.0006168669453785,-0.311542618337493,0.0083624213867822,-0.0699701076775736,0.248392768439407,1,0.416486230521479,-0.142809456150139,0.16244880424493
"184_",-0.0947999417475396,-0.0582843433437133,-0.0617124620284918,-0.0395888851045203,-0.0565369036354984,-0.0607706523025501,-0.0997704224225238,0.363308227157947,0.0214714674851334,0.0394210307178399,-0.0765805679030983,0.000942314894526488,0.530668876999412,-0.0428437169555749,0.0633224347261865,0.064342193303729,0.416486230521478,1,-0.015523434524952,-0.0163842439501303
"188_",0.0329197895499372,-0.0127652092144613,0.109180394012196,-0.0269819965992397,-0.00917789981175166,-0.110551415825877,-0.0417541359695332,-0.0872091467803169,0.068714803356417,0.137615596187284,-0.00851669598778372,0.0168485150827027,-0.0221515960179713,0.0155918501746277,-0.0299238162492713,0.0435219927817143,-0.142809456150139,-0.0155234345249517,1,-0.0646109002843541
"196_",-0.00986346159441696,-0.0319972863551304,0.117623800206319,-0.0179880237167968,-0.188887644784222,-0.0533805101962013,-0.0751199546827745,-0.124832607086079,0.239416915387323,0.0123496886161729,-0.000504746271075303,-0.149566634464212,-0.00274178698460922,0.0296125582904439,-0.00152887233881343,0.311781042543869,0.162448804244927,-0.0163842439501301,-0.0646109002843564,1
