"type","reaction","group","ppcor","igg","truth","enzyme"
"15199","glycan","G2FN_G2FNS","k_2013_group_2",0.385106924541269,"2","T","ST6GAL1"
"15249","glycan","G1FNS_G2FNS","k_2013_group_2",0.459849199041645,"2","T","B4GALT"
"15623","glycan","G1F_G1FS","k_2013_group_4",0.607345217926143,"4","T","ST6GAL1"
"15851","glycan","G2F_G2FS","k_2013_group_4",0.631176939303546,"4","T","ST6GAL1"
"15901","glycan","G1FS_G2FS","k_2013_group_4",0.548723111093604,"4","T","B4GALT"
"15957","glycan","G1FN_G1FNS","k_2013_group_4",-0.107524096114761,"4","T","ST6GAL1"
"16100","glycan","G2FN_G2FNS","k_2013_group_4",0.0883322865788849,"4","T","ST6GAL1"
"16150","glycan","G1FNS_G2FNS","k_2013_group_4",0.411506596040734,"4","T","B4GALT"
"16251","glycan","G1_G1S","split_group_1",0.0958945761258547,"1","T","ST6GAL1"
"16389","glycan","G2_G2S","split_group_1",0.618870908036096,"1","T","ST6GAL1"
"16429","glycan","G1S_G2S","split_group_1",0.0456465217549225,"1","T","B4GALT"
"16473","glycan","G1N_G1NS","split_group_1",-0.0194590520657064,"1","T","ST6GAL1"
"16521","glycan","G1F_G1FS","split_group_1",0.540909251779109,"1","T","ST6GAL1"
"16661","glycan","G2N_G2NS","split_group_1",0.242477565926126,"1","T","ST6GAL1"
"16701","glycan","G1NS_G2NS","split_group_1",0.277103665522734,"1","T","B4GALT"
"16749","glycan","G2F_G2FS","split_group_1",0.610487971413494,"1","T","ST6GAL1"
"16799","glycan","G1FS_G2FS","split_group_1",0.437293285381778,"1","T","B4GALT"
"16855","glycan","G1FN_G1FNS","split_group_1",0.0806734544598295,"1","T","ST6GAL1"
"16998","glycan","G2FN_G2FNS","split_group_1",0.28392136434096,"1","T","ST6GAL1"
"17048","glycan","G1FNS_G2FNS","split_group_1",0.289868790501563,"1","T","B4GALT"
"17152","glycan","G1_G1S","split_group_2",0.145299157717521,"2","T","ST6GAL1"
"17290","glycan","G2_G2S","split_group_2",0.533631150005379,"2","T","ST6GAL1"
"17330","glycan","G1S_G2S","split_group_2",0.28888964261251,"2","T","B4GALT"
"17374","glycan","G1N_G1NS","split_group_2",-0.10943952919272,"2","T","ST6GAL1"
"17422","glycan","G1F_G1FS","split_group_2",0.624850650051831,"2","T","ST6GAL1"
"17562","glycan","G2N_G2NS","split_group_2",0.302318129171168,"2","T","ST6GAL1"
"17602","glycan","G1NS_G2NS","split_group_2",0.106954685225075,"2","T","B4GALT"
"17650","glycan","G2F_G2FS","split_group_2",0.668902822571106,"2","T","ST6GAL1"
