"","Coef","naiveSE","naiveZ","robustSE","robustZ","vars","response","robustPr","data"
"smallest_motif_abundance_dropped_more.scale(X89)",-0.00555655961972239,0.0835170945212154,-0.0665320034368639,0.00287646695900896,-1.93173073040853,"X89","secretor",0.0533927497299188,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X90)",-0.00555655961972239,0.0835170945212154,-0.0665320034368639,0.00287646695900896,-1.93173073040853,"X90","secretor",0.0533927497299188,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X91)",-0.00555655961972239,0.0835170945212154,-0.0665320034368639,0.00287646695900896,-1.93173073040853,"X91","secretor",0.0533927497299188,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X93)",-0.00779333452235157,0.0852827906629652,-0.0913822643673865,0.00419890998020448,-1.85603753333432,"X93","secretor",0.0634482083843038,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X94)",-0.00851327862134213,0.0870759738030137,-0.0977683998183145,0.00480822402892812,-1.77056613213589,"X94","secretor",0.0766328780681431,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X95)",-0.00851327862134213,0.0870759738030137,-0.0977683998183145,0.00480822402892812,-1.77056613213589,"X95","secretor",0.0766328780681431,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X96)",-0.00851327862134213,0.0870759738030137,-0.0977683998183145,0.00480822402892812,-1.77056613213589,"X96","secretor",0.0766328780681431,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X97)",-0.00779333452235157,0.0852827906629652,-0.0913822643673865,0.00419890998020448,-1.85603753333432,"X97","secretor",0.0634482083843038,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X98)",-0.00779333452235157,0.0852827906629652,-0.0913822643673865,0.00419890998020448,-1.85603753333432,"X98","secretor",0.0634482083843038,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X99)",-0.00779333452235157,0.0852827906629652,-0.0913822643673865,0.00419890998020448,-1.85603753333432,"X99","secretor",0.0634482083843038,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X100)",-0.00851327862134213,0.0870759738030137,-0.0977683998183145,0.00480822402892812,-1.77056613213589,"X100","secretor",0.0766328780681431,"smallest_motif_abundance_dropped_more"
