Sample,G0F,G1F,G2F,G0FN,G1FN,G2FN,G1FS,G2FS,G1FNS,G2FNS,G0,G1,G2,G0N,G1N,G2N,G1S,G2S,G1NS,G2NS
sample_19,5.102864819130174,5.35028374515613,5.173834402198261,4.724724688120195,5.0482489393103,4.431408475631359,4.215484405522663,5.141762584180479,3.724955597035647,3.880178617504083,3.9174285983722426,4.411711218189938,4.285828609897131,3.483570478999634,3.9893957630505827,3.4856651509794467,3.6318051064986436,4.172414629532508,3.3758983225560337,3.0549104345759552
sample_20,5.166079777014778,5.48529551654482,5.196439234036013,4.741957406018925,5.047142140786829,4.312329616055348,4.275489003879145,5.104008597991258,3.659190955605904,3.622937041310436,4.320459664067148,4.559521391412403,4.270258534274297,3.8230245485525614,4.072752716438813,3.4578241075192606,3.824251062511353,4.159416133833732,3.2988271456517015,2.8549414772297785
sample_21,5.594650798078736,5.6192176381760905,5.183642344126197,5.153862328716838,5.218240907230592,4.3157897047517,4.529145205973118,5.10794102093157,3.844368208624873,3.6802074209671254,4.351581136749983,4.398048961252187,4.071714094529319,3.805502947565315,3.887647231860363,3.3515811367499833,3.8790218628439397,3.980652945464443,3.0416078241421807,2.573982775660495
sample_22,5.77081927592737,5.652620811266159,5.13158816052602,5.371776575064065,5.233622452041331,4.305510263799368,4.558403826499032,5.034945697368651,3.855198131564797,3.6808573564666616,4.25135708978982,4.317813814875965,4.0773975428731175,3.9148677663614886,3.962109393295676,3.3959459424602843,3.8787096908427316,3.9383756832606487,3.165025437793089,2.8685550061296583
sample_23,5.180615795604232,5.574843433112433,5.448636594134144,4.679914484484721,4.981559258567381,4.391852197225167,4.342863046059136,5.40161543943621,3.6896253082685746,3.7459682136610346,3.8675540811315576,4.2998378724619535,4.2426912149411065,3.3512399426276844,3.7587614011709385,3.422570859105782,3.909938754692943,4.350034187686596,3.1233565368581617,3.088245851655842
sample_24,5.338264425036117,5.512868357570356,5.021501244430881,4.860841805540548,5.051534112020521,4.156953411924824,4.479282501750189,5.074103257719238,3.7903324789105155,3.647446392403769,4.295996190573108,4.437845901886238,4.095278271021444,3.8030620657496526,3.9567278873362772,3.328278526206242,3.9694656222366276,4.107787655179887,3.421311464976503,2.7590134032527858
sample_25,5.698366442349474,5.701588092632167,5.119690246790797,5.137390740960562,5.149853683093342,4.193530672092307,4.614673040291976,5.104260727080071,3.871586846075763,3.6820649616889782,4.167970407603817,4.145730575451129,3.8401380885001326,3.7704135225002355,3.770080065890771,3.427188289347606,4.099870230252918,3.807058696648761,3.2224083848477862,3.023873855197284
sample_26,5.130341209793384,5.403166954616609,5.168248769997365,4.868812917299767,5.181475550757053,4.4656472825994555,4.199098673533429,5.0890258845166825,3.742218402180339,3.8098912284031066,4.043034789697604,4.404080571941249,4.264638731723965,3.7029908128995572,4.150890629156218,3.744541873519341,3.768377072101774,4.2819885909642705,3.132915107577953,3.1842430671038273
sample_27,5.343151893933924,5.472427196105034,5.068217233091194,4.966014393706,5.091962426937532,4.235978908855956,4.272673933480361,4.948322875092864,3.7565658573567093,3.6256443107555345,4.361228613928075,4.474991028395939,4.125136609452846,3.962664753639311,4.103324344067353,3.4198890647998126,3.853861575416325,3.9679867783472584,3.3467583500266307,2.866059170445861
sample_28,5.242011330886089,5.547916830338652,5.340519863433653,4.732437113117352,4.970778269565458,4.30985995321162,4.265608739013975,5.215422573611523,3.654311261226792,3.6334731910331777,4.119788534782747,4.432574043618009,4.268270475854462,3.70408586198949,3.8747736106220976,3.4566088531584334,3.9240655821856296,4.272514957350977,3.250203772955224,3.1010101164401696
