Name,Composition [a],Supposed structures [a],P1TS [b],P1TI,P3TS,P2TS,P4TS,P4TI,P6TA-FS,P6TA-FG,P6TA-AS,P6TA-AG,P5TA-AS,P5TA-AG,P7TA-AS,P7TA-AG,P8H,P9H,P10H
975-1,Hex2HexNAc2dHex1Sul1,Galβ1-3[Fucα1-2Galβ1-4(6S)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.2
975-2,Hex2HexNAc2dHex1Sul1,Gal(Fuc)(6S)GlcNAc-Galβ1-3GalNAcol,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
975-3,Hex2HexNAc2dHex1Sul1,Fucα1-2Galβ1-3[Galβ1-4(6S)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.3,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0
993-1,Hex1HexNAc4,GlcNAc-Gal+GlcNAcβ1-3(GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
993-2,Hex1HexNAc4,HexNAc1-4Galβ1-3(GalNAcβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.2,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1016-1,Hex1HexNAc3dHex1Sul1,GalNAcα1-3(Fucα1-2)Galβ1-3(SGlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1016-2,Hex1HexNAc3dHex1Sul1,Fucα1-2Galβ1-3[GalNAcβ1-4(S)GlcNAcβ1-6]GalNAcol,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1032,Hex2HexNAc3Sul1,HexNAc1-4Galβ1-3[Galβ1-4(S)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1040-1,NeuAc1Hex2HexNAc2,NeuAcα2-3Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcol,1.1,0.6,1.4,9.5,0.4,1.0,2.2,0.8,0.9,2.9,0.6,0.0,12.2,0.0,1.3,0.7,1.5
1040-2,NeuAc1Hex2HexNAc2,Galβ1-3(NeuAcα2-3Galβ1-4GlcNAcβ1-6)GalNAcol,0.1,1.7,2.9,1.2,1.1,0.0,0.2,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.2,0.0,3.4
1041-1,Hex2HexNAc2dHex2,Fucα1-2Galβ1-3[Gal(Fuc)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
1041-2,Hex2HexNAc2dHex2,Fucα1-2Galβ1-3GlcNAcβ1-3(Fucα1-2)Galβ1-3GalNAcol,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
