,P1TS,P1TI,P3TS,P2TS,P4TS,P4TI,P6TA_FS,P6TA_FG,P6TA_AS,P6TA_AG,P5TA_AS,P5TA_AG,P7TA_AS,P7TA_AG,P8H,P9H,P10H
L27797,0.001438037,0,0,0.00433544,0.007591916,0.004393487,0.004220239,0.032693118,0,0.0914232,0,0.015902934,0,0.008685932,0.001888746,0.005754771,0.001724023
L27808,0.000929285,0,0,0,0,0.004393487,0.006785789,0.020161134,0,0.154638119,0,0,0,0.008777394,0.003721116,0.01154471,0.00131384
L27815,0,0,0,0,0,0,0.002565551,0,0,0.063214919,0,0,0,0.003835386,0.009473111,0.005789939,0.00131384
L27816,0,0,0,0,0,0,0.002565551,0,0,0.063214919,0,0,0,0.003835386,0.009473111,0.005789939,0.00131384
L27817,0,0,0,0.00433544,0.007591916,0,0.002565551,0.005835078,0,0.063214919,0,0,0,0.00757931,0.00183237,0.005789939,0.003037862
L27818,0,0,0,0,0,0,0.002565551,0,0,0.063214919,0,0,0,0.003835386,0.00768179,0.005789939,0.00131384
L27819,0,0,0,0,0,0,0.002565551,0,0,0.063214919,0,0,0,0.003835386,0.00768179,0.005789939,0.00131384
L27820,0.001820816,0.001357037,0.020909445,0.023186034,0.033798695,0.010587481,0.014811419,0.04379192,0.006575817,0.105515834,0,0.015902934,0,0.004971569,0.015326943,0.013198793,0.005557194
L27821,0.002375014,0,0.17861141,0,0,0,0.011927081,0,0,0,0,0,0,0,0.004361952,0,0
L27822,0.02122836,0.002936093,0,0,0,0.009589124,0,0.001578399,0.00530685,0,0,0,0,0,0.003414844,0.006106683,0.016133709
L27826,0.005678457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010614167
L27827,3.93E-08,0.006159793,0,0,0,0,0.009186286,0,0,0,0.001969919,0,0,0.002550573,0.008382422,0.009548711,0.008003642
L27828,0.003349225,0.002442111,0,0,0,0.004303243,0.040515248,0.011376666,0,0.005990738,0.001047658,0,0,0.026345791,0.018830203,0.020673028,0.010282798
L27832,0,0,0,0,0,0,0.011850066,0,0,0,0,0,0,0.00459205,0,0,0
L27837,0,0,0,0,0,0,0,0,0,0,0.005367454,0,0,0,0,0,0.010489507
L27840,0.001835527,0,0,0,0,0,0,0,0,0,0.005367454,0,0,0,0,0,0.013007846
L27841,0,0,0,0,0,0,0,0,0,0,0.007638184,0,0,0,0,0,0.018920536
L27844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002147492,0,0
L27851,0,0.000891632,0,0.002898428,0.009936965,0.00317254,0,0.016757816,0,0,0,0,0,0,0.000856144,0,0
L27856,0.011014742,0.007667616,0,0.007429674,0.020388621,0.010104576,0.001034628,0.025690428,0.006575817,0,0,0,0,0.005656609,0.008965406,0.005743302,0.004243355
L27871,0.000741635,0.038217784,0,0.005680226,0.010657264,0.123900472,0.006341997,0.076755173,0.088117636,0.003607189,0.003126853,0.033651817,0,0.286362544,0.041350038,0.009913928,0
L27876,0.006646278,0,0,0,0,0,0,0,0,0,0,0,0,0.003379613,0,0,0
L27877,0,0.008885799,0,0,0,0.003910582,0,0.004077136,0,0,0,0,0,0.009036222,0,0,0
L27879,0,0.010938153,0,0,0,0,0,0,0,0,0.00033825,0.011380869,0,0.003379613,0.00584942,0,0.00858831
L27885,0.001820816,0.000465405,0,0.00957021,0.014873669,0.003021455,0,0.001524858,0.006575817,0,0,0,0,0,0.005267737,0.004235856,0.004243355
L27887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004171034,0,0
L27895,0,0.000745242,0,0.001781593,0.006595792,0.002869322,0.00082438,0.008106768,0.009680068,0,0,0,0,0,0.023322338,0,0
L27920,0,0.002442111,0,0,0,0,0,0,0,0,0.001047658,0,0,0.014109634,0,0,0.00544728
L27929,0,0,0,0,0,0,0,0,0,0,0.002270731,0,0,0.004849779,0,0,0.008431029
L27931,0,0,0,0,0,0,0,0,0,0,0.002270731,0,0,0.004849779,0.002803952,0.000674884,0.008431029
L27941,0.019097152,0.002503845,0,0,0.006411125,0.009589124,0.001034628,0.004909017,0.00530685,0,0,0,0,0,0.004341943,0.007614129,0.005519541
L27963,0.001417722,0,0,0.014594136,0,0,0.003802947,0,0,0,0,0,0,0,0,0,0
L27973,0,0,0,0.00433544,0.007591916,0,0,0.005835078,0,0,0,0,0,0.003743924,0,0,0.001724023
L27979,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00326356,0,0,0
L27987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003396379,0,0.000867205
L27991,0,0,0,0,0,0,0,0,0,0,0.002225583,0,0,0,0,0,0.004081355
L27992,0,0,0,0,0,0,0,0,0,0,0.002225583,0,0,0,0,0,0.004081355
L28004,0,0,0,0,0,0,0.00266378,0,0,0,0,0,0,0.00459205,0,0,0
L28005,0.002342086,0.004518584,0,0.007259874,0.011269579,0.00665064,0.001321592,0.00658259,0.006065753,0,0,0,0,0,0.003848979,0,0.002465431
L28010,0.001835527,0,0,0,0,0,0,0,0,0,0,0,0,0.00459205,0.002803952,0.000674884,0.002518338
L28013,0,0.004540034,0,0,0,0,0,0,0,0,0,0,0,0.045098504,0,0,0
L28015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032949077,0,0,0.002137163
L28024,0,0,0,0.008281799,0,0,0,0,0,0,0,0,0,0,0,0,0
L28026,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003963728,0,0,0
L28027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003963728,0,0,0
L28031,0,0.004540034,0,0,0,0,0,0,0,0,0.001674223,0,0,0,0,0,0.003937721
L28035,0,0,0,0,0.011096913,0,0,0,0,0,0,0,0,0,0,0,0
L28036,0,0,0,0,0.007433602,0,0,0,0,0,0,0,0,0,0,0,0
L28037,0,0,0,0,0,0,0,0,0,0,0.001229493,0,0,0,0,0,0.000676384
L28040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001427058
L28046,0,0,0,0,0,0,0,0,0,0,0.001031891,0,0,0,0,0,0.004374115
L28051,0,0,0,0,0,0,0,0,0,0,0.001916026,0,0,0,0,0,0.002437542
L28054,0,0,0,0.011730015,0.003625251,0,0,0,0,0,0,0,0,0,0,0,0
L28055,0.000416938,0.031455888,0,0,0,0,0,0,0,0,0.123814322,0,0,0,0,0,0.04135275
L28057,0,0.006040885,0,0,0.003323563,0,0,0.006228344,0,0.006787615,0,0,0,0.006092687,0,0.007324651,0
L28058,0,0.006040885,0,0,0.003323563,0,0,0.006228344,0,0.006787615,0,0,0,0.006092687,0,0.007324651,0
L28060,0,0.0436653,0,0.002171099,0.003781606,0.038172185,0.001529859,0.024303793,0.020327184,0.003607189,0.002929311,0.035691277,0,0.091986216,0.007568498,0.003641931,0.002971849
L28067,0,0.058385024,0,0,0,0.062579233,0,0,0,0,0.029964425,0.055638637,0,0.034364305,0.004329966,0.141913999,0.028679134
L28068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003055173
L28070,0,0,0,0,0,0,0.000650871,0,0.004391913,0,0,0,0,0,0.002240117,0,0
L28072,0.001545128,0.006032583,0,0,0,0,0,0,0,0,0.00290596,0,0,0,0,0,0.005635828
L28074,0,0,0,0,0,0,0,0,0,0,0.000939924,0,0,0,0,0,0.003293098
L28075,0,0,0,0,0.003455475,0,0,0,0,0,0,0,0,0,0,0,0
L28076,0,0,0,0,0,0,0.000769938,0,0,0,0,0,0,0,0,0,0
L28077,0,0,0,0,0.002724645,0.004174287,0,0.006846761,0,0.023409436,0,0.023257208,0,0,0,0,0
L28078,0,0,0,0,0.001925116,0.011958342,0,0.012163105,0,0,0,0,0,0.014070973,0,0,0
L28080,0.001015991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L28081,0.000733568,0,0,0,0,0.005151255,0,0.002588517,0,0,0,0,0,0,0,0,0
L28082,0,0,0,0,0,0,0,0,0,0,0,0.015417988,0,0,0,0,0
L28083,0,0,0,0,0,0,0,0.002270474,0.012319622,0.033821472,0,0,0,0,0,0,0
L28085,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00592858,0,0,0
L28086,0.000319633,0.002270385,0,0,0,0,0.00191834,0,0,0,0.001383068,0,0,0.00146014,0.000983193,0.00244305,0.002950421
L28087,0,0.001456273,0,0,0,0,0,0,0,0,0.001403553,0,0,0,0,0,0.00199619
L28088,0.003654507,0.001381146,0,0.009211266,0.025504678,0.012395509,0.001626831,0.025356759,0.022621087,0.007534451,0,0,0,0,0.014786499,0.004235856,0.008775651
L28089,0.003654507,0.000891632,0,0.009211266,0.023313509,0.006193994,0.001626831,0.020402354,0.013442604,0,0,0,0,0,0.009325406,0.004235856,0.005635472
L28102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003369406,0,0
L28117,0.003671308,0.002101379,0,0,0,0.003818118,0.024362078,0.028830533,0,0.062459467,0,0,0,0.006130984,0.012980965,0.0216238,0.001887833
L28133,0,0.002101379,0,0,0,0,0.016570658,0.005666836,0,0.018513341,0,0,0,0,0.008030986,0.015232556,0
L28134,0,0,0,0,0,0,0.016570658,0,0,0.006208487,0,0,0,0,0.008030986,0.015232556,0
L28137,0.000718312,0,0,0,0,0,0.01920852,0.008325993,0,0.016316265,0,0,0,0,0.011289945,0.015232556,0
L28148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00180053
L28149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00180053
L28154,0.000508751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L28161,0.001438037,0,0,0,0,0.004393487,0.004220239,0.02685804,0,0.0914232,0,0.015902934,0,0.004942008,0.001888746,0.005754771,0
L28183,0,0,0,0,0,0,0.002565551,0,0,0.063214919,0,0,0,0.003835386,0.006003404,0.005789939,0.00131384
L28184,0,0,0,0,0,0,0.002565551,0,0,0.063214919,0,0,0,0.003835386,0.006003404,0.005789939,0.00131384
L28186,0,0,0,0,0,0.004393487,0.004979345,0.014009172,0,0.097556508,0,0,0,0.004971569,0.00183237,0.007535423,0.00131384
L28187,0.002375014,0,0.093435794,0,0,0,0.007439214,0,0,0,0,0,0,0,0.003370479,0,0
L28190,0.007183061,0,0.036207302,0.008277108,0,0,0.022394618,0,0,0,0,0,0,0,0.0097468,0,0.010614167
L28191,0.000870409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L28192,3.93E-08,0.002442111,0,0,0,0,0.009186286,0,0,0,0.001047658,0,0,0.002550573,0.008382422,0.009548711,0.005447373
L28193,0,0,0,0,0,0,0.011850066,0,0,0,0,0,0,0,0,0,0
L28198,0,0,0,0,0,0,0,0,0,0,0.005367454,0,0,0,0,0,0.010489507
L28204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002147492,0,0
L28208,0,0,0,0,0,0,0.005053358,0,0,0,0,0,0,0,0.003817145,0,0
L28209,0,0,0,0.002898428,0.007812512,0.00317254,0,0.016757816,0,0,0,0,0,0,0,0,0
L28210,0,0.006912795,0,0.002898428,0.009936965,0.007083121,0,0.020834951,0,0,0,0,0,0.005656609,0.000856144,0,0
L28211,0,0,0,0.007429674,0.01598145,0.006193994,0,0.018282674,0.006575817,0,0,0,0,0,0.007760385,0.004235856,0.004243355
L28218,0,0.000891632,0.020909445,0.018147069,0.027093964,0.010587481,0.012245868,0.04379192,0.006575817,0.042300916,0,0.015902934,0,0.001136183,0.009323539,0.007408853,0.004243355
L28227,3.93E-08,0,0,0,0,0,0.014152707,0,0,0,0,0,0,0,0.007627038,0,9.24E-08
L28237,0,0.010938153,0,0,0,0,0,0,0,0,0.00033825,0.011380869,0,0.003379613,0.001678386,0,0.006814966
L28241,0.006646278,0.006021163,0,0.004531246,0.008168938,0.006932036,0,0.005601994,0.006575817,0,0,0,0,0.005656609,0.003589351,0.004235856,0.004243355
L28243,0.001820816,0.000465405,0,0.00957021,0.014873669,0.003021455,0,0.001524858,0.006575817,0,0,0,0,0,0.003589351,0.004235856,0.004243355
L28250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007640741,0,0
L28251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00584942,0,0
L28253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007640741,0,0
L28271,0,0,0,0,0,0,0.008751931,0,0,0,0,0,0,0,0.002655152,0.006279519,0
L28272,0,0,0,0,0,0,0.008751931,0,0,0,0,0,0,0,0.002655152,0.006279519,0
L28273,0,0,0,0,0,0,0.008751931,0,0,0,0,0,0,0,0.002655152,0.006279519,0
L28274,0,0,0,0,0,0,0.008751931,0,0,0,0,0,0,0,0.002655152,0.006279519,0
L28280,0,0,0,0.00433544,0.007591916,0.004393487,0.002413795,0.026541156,0,0.034341589,0,0.015902934,0,0.004880108,0,0.001745484,0.001724023
L28282,0,0.002442111,0,0,0,0,0,0,0,0,0.001047658,0,0,0,0,0,0.00544728
L28295,0,0,0.142404108,0,0,0,0.004487867,0,0,0,0,0,0,0,0.000991473,0,0
L28298,0,0,0,0,0,0,0,0,0,0,0.002270731,0,0,0,0,0,0.008431029
L28301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001832486
L28308,0.014113337,0.002181271,0,0,0,0.009589124,0,0.001578399,0.00530685,0,0,0,0,0,0.001618438,0.006106683,0.005519541
L28317,0.004368464,0.000754822,0.036224222,0.005489904,0.007596716,0,0.008780739,0.003330618,0,0,0,0,0,0,0.008620846,0.001507446,0
L28318,0.007448649,0.000754822,0,0,0,0,0,0,0,0,0,0,0,0,0.001796406,0,0
L28325,0,0.002864636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001773344
L28332,0,0,0,0,0,0,0.005053358,0,0,0,0,0,0,0,0.001669654,0,0
L28339,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010846075,0,0,0
L28340,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010846075,0,0,0
L28353,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00326356,0,0,0
L28354,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00326356,0,0,0
L28360,0.015531059,0,0,0,0,0.009589124,0,0,0,0,0,0,0,0,0,0.001257635,0.005519541
L28371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002013707,0.005996784,0
L28376,0,0,0,0,0,0,0.00266378,0,0,0,0,0,0,0,0,0,0
L28383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002803952,0.000674884,0
L28385,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00459205,0,0,0
L28388,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032949077,0,0,0
L28395,0,0,0,0,0.003639971,0,0,0,0,0,0,0,0,0,0,0,0
L28401,0,0.004540034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L28405,0.001835527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002518338
L28406,0,0,0,0,0.004839056,0,0,0,0,0,0,0,0,0,0,0,0
L28408,0,0,0,0,0,0,0.005359916,0.005121156,0,0,0,0,0,0.007001795,0,0.001248324,0
L28409,0,0,0,0,0,0,0,0.013637091,0,0,0,0,0,0.005722774,0,0.004851483,0
L28410,0,0,0,0,0,0,0,0,0,0,0.001031891,0,0,0,0,0,0.002236952
L28415,0,0.000322573,0,0,0.004128407,0,0,0,0,0,0,0,0,0,0,0,0
L28417,0,0.015440931,0,0.002171099,0.003781606,0.038172185,0.000696114,0.016392692,0.011097958,0.003607189,0,0.012066633,0,0.07374267,0.002526433,0,0
L28418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002137163
L28419,0,0.024610113,0,0,0,0,0,0,0,0,0.002530681,0.023624644,0,0.012589928,0,0,0.002971849
L28420,0,0.006032583,0,0,0,0,0,0,0,0,0.00290596,0,0,0,0,0,0.005635828
L28525,0.003654507,0,0,0.009211266,0.021189056,0.006193994,0.001626831,0.020402354,0.013442604,0,0,0,0,0,0.008469262,0.004235856,0.005635472
L28546,0.002952996,0.002101379,0,0,0,0.003818118,0.012972286,0.02050454,0,0.052351689,0,0,0,0.006130984,0.007066855,0.015344281,0.001887833
L28556,0,0.002101379,0,0,0,0,0.007818727,0.005666836,0,0.018513341,0,0,0,0,0.005375834,0.008953037,0
L28557,0,0,0,0,0,0,0.007818727,0,0,0.006208487,0,0,0,0,0.005375834,0.008953037,0
L28563,0,0,0,0,0,0,0.007818727,0,0,0.006208487,0,0,0,0,0.005375834,0.008953037,0
L28572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00180053
L28573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00180053
L28582,0.001438037,0,0,0,0,0,0.001806444,0.006151962,0,0.057081611,0,0,0,0.003805825,0.001888746,0.004009287,0
L28587,0.000929285,0,0,0,0,0.004393487,0.004220239,0.020161134,0,0.0914232,0,0,0,0.004942008,0.001888746,0.005754771,0
L28599,0.006312652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010614167
L28601,0.000870409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L28602,0,0.002442111,0,0,0,0,0.009186286,0,0,0,0.001047658,0,0,0,0,0,0.00544728
L28617,0,0.000891632,0,0.007429674,0.018105903,0.006193994,0,0.018282674,0.006575817,0,0,0,0,0,0.004445495,0.004235856,0.004243355
L28630,0,0.008073517,0,0,0,0,0,0,0,0,0.00033825,0.011380869,0,0.003379613,0,0,0.00118442
L28634,0,0.002864636,0,0,0,0,0,0,0,0,0,0,0,0.003379613,0,0,0
L28641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004171034,0,0
L28654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001678386,0,0
L28670,0,0,0,0,0,0.004393487,0.002413795,0.020706078,0,0.034341589,0,0.015902934,0,0.001136183,0,0.001745484,0
L28684,0,0,0.057228492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L28699,0.004368464,0.000754822,0,0,0.002282718,0,0.001034628,0.003330618,0,0,0,0,0,0,0.00451991,0.001507446,0
L28703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001991557,0,0
L28704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001991557,0,0
L28715,0,0.008073517,0,0,0,0,0,0,0,0,0.00033825,0.011380869,0,0,0,0,0.006814966
L28716,0,0,0,0.008277108,0,0,0.001716875,0,0,0,0,0,0,0,0,0,0
L28722,0,0,0,0.00433544,0.007591916,0,0,0.005835078,0,0,0,0,0,0.003743924,0,0,0.001724023
L28723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001773344
L28728,0.001417722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L28731,0.001820816,0.000465405,0,0.005038965,0.006704731,0,0,0,0,0,0,0,0,0,0,0,0
L28733,0,0.001572021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L28735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002789602,0,0
L28736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002803952,0,0
L28737,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002550573,0.00054041,0,0
L28740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000674884,0
L28741,0.014113337,0,0,0,0,0.009589124,0,0,0,0,0,0,0,0,0,0.001257635,0.005519541
L28742,0.006646278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L28421,0.003654507,0,0,0.001781593,0.005207606,0,0.001626831,0.00211968,0.006866787,0,0,0,0,0,0.004879911,0,0.001392117
L28431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00356307,0,0
L28442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00187205,0,0
L28457,0.000929285,0,0,0,0,0,0.001806444,0.006151962,0,0.057081611,0,0,0,0.003805825,0.001888746,0.004009287,0
L28458,0.000929285,0,0,0,0,0,0.001806444,0.006151962,0,0.057081611,0,0,0,0.003805825,0.001888746,0.004009287,0
L28462,0,0,0,0,0,0,0.002565551,0,0,0.063214919,0,0,0,0.003835386,0.00183237,0.005789939,0.00131384
L28463,0,0,0,0,0,0,0.002565551,0,0,0.063214919,0,0,0,0.003835386,0.00183237,0.005789939,0.00131384
L28465,0.002375014,0,0.036207302,0,0,0,0.007439214,0,0,0,0,0,0,0,0.003370479,0,0
L28475,0,0.000891632,0,0.002898428,0.009936965,0.00317254,0,0.016757816,0,0,0,0,0,0,0.000856144,0,0
L28477,0,0,0,0.007429674,0.01598145,0.006193994,0,0.018282674,0.006575817,0,0,0,0,0,0.003589351,0.004235856,0.004243355
L28491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004171034,0,0
L28493,0,0,0,0.001781593,0.005207606,0,0.00082438,0.00211968,0.006866787,0,0,0,0,0,0.004879911,0,0
L28498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001678386,0,0
L28505,0,0,0,0,0,0.004393487,0.002413795,0.014009172,0,0.034341589,0,0,0,0.001136183,0,0.001745484,0
L28508,0,0.002442111,0,0,0,0,0,0,0,0,0.001047658,0,0,0,0,0,0.00544728
L28511,0,0,0,0,0,0,0.014152707,0,0,0,0,0,0,0,0.005971008,0,0
L28512,0,0,0.057228492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L28514,0,0.002181271,0,0,0,0,0,0.001578399,0,0,0,0,0,0,0,0,0
L28515,0,0.006021163,0,0,0,0.003910582,0,0.004077136,0,0,0,0,0,0.005656609,0,0,0
L28516,0.004808048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010614167
L28517,0.003566093,0,0,0,0.002282718,0,0.001034628,0.003330618,0,0,0,0,0,0,0.002723504,0.001507446,0
L28518,0.000802371,0.000754822,0,0,0,0,0,0,0,0,0,0,0,0,0.001796406,0,0
L28520,0,0.002864636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L28522,0,0.008073517,0,0,0,0,0,0,0,0,0.00033825,0.011380869,0,0,0,0,0.00118442
L28752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001691021,0,0
L28753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001691021,0,0
L28761,0.002952996,0,0,0,0,0.003818118,0.005153559,0.014837704,0,0.033838348,0,0,0,0.006130984,0,0.006391244,0.001887833
L28763,0.000508751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L28766,0.001504604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L28767,0.000870409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L28768,0,0,0,0,0,0,0.009186286,0,0,0,0,0,0,0,0,0,0
L28769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002147492,0,0
L28770,0,0,0,0.002898428,0.007812512,0.00317254,0,0.016757816,0,0,0,0,0,0,0,0,0
L28771,3.93E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00165603,0,9.24E-08
L28772,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003379613,0,0,0
L28773,0,0,0,0.004531246,0.008168938,0.003021455,0,0.001524858,0.006575817,0,0,0,0,0,0.003589351,0.004235856,0.004243355
L28746,0.003654507,0,0,0,0,0,0.00080245,0,0,0,0,0,0,0,0,0,0.001392117
