,P1TS,P1TI,P3TS,P2TS,P4TS,P4TI,P6TA_FS,P6TA_FG,P6TA_AS,P6TA_AG,P5TA_AS,P5TA_AG,P7TA_AS,P7TA_AG,P8H,P9H,P10H
L26825,5.75E-05,0.003562438,0,0.016369705,0.008867832,0,0.000528031,0,0,0,0.006537075,0,0,0,0.001325189,0,0.003728678
L26827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001691021,0,0
L26828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001691021,0,0
L26830,0,0,0,0,0,0,0.005053358,0,0,0,0,0,0,0,0.001669654,0,0
L26834,0,0,0,0,0.002610318,0,0,0,0,0,0,0,0,0,0,0,0
L26836,0.001627301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L26838,0.02005615,0.034623038,0.058517181,0.068950549,0.14127632,0.007468693,0.0115634,0.039765933,0.033940511,0.024999413,0.005806096,0.069424941,0,0.033092848,0.012573537,0.015138159,0.022157473
L26839,0.802411894,0.623073522,0.567399111,0.505983076,0.428729417,0.844933781,0.829272024,0.767658073,0.786992608,0.853195515,0.609104996,0.667518951,0.531463404,0.819944612,0.7698576,0.932010808,0.743482756
L26840,0.008951781,0.002101379,0.004075797,0.001355192,0.012278511,0.003818118,0.045600805,0.034141632,0,0.052351689,0.007638184,0,0,0.021295587,0.021973203,0.026867432,0.024718825
L26841,0,0.003314378,0.004075797,0.003916531,0.008638541,0,0.000769938,0.003198689,0.004129252,0,0,0,0,0,0.001836154,0,0.009066026
L26842,0,0.00226696,0.004075797,0.001355192,0.008638541,0,0.001434479,0,0,0,0.000137585,0,0,0,0.000332438,0,0.002568852
L26843,0.000526898,0.001321283,0,0.043644482,0.084997076,0,0,0,0,0,0.002557747,0,0.202931459,0,0,0,0.002497737
L26844,0.807406264,0.475544897,0.257146124,0.163537093,0.360287409,0.738749896,0.097032842,0.514121537,0.693942349,0.329922452,0.234010176,0.401678279,0.716643953,0.851898753,0.484159696,0.769995985,0.471223514
L26845,0.006241664,0.010551218,0.049165773,0.092943165,0.191848304,0,0.002797119,0.002937426,0.012637131,0,0.007410865,0,0.336447184,0.003896883,0.003505325,0,0.007839022
L26847,0,0,0,0.001342643,0.00232499,0,0,0,0,0,0,0,0,0,0,0,0
L26848,0,0,0,0.001342643,0.00232499,0,0,0,0,0,0,0,0,0,0,0,0
L26850,0.000526898,0.001321283,0,0.00684998,0.027770055,0,0,0,0,0,0.002557747,0,0.106710954,0,0,0,0.002497737
L26851,0.067371178,0.076575854,0.178799387,0.344913666,0.035343994,0.036504209,0.070028783,0.034213357,0.053392417,0.114031157,0.20902966,0,0.215283492,0.001492961,0.058878864,0.047347119,0.157622854
L26852,0.014235949,0.049202447,0.021602132,0.096522394,0.075212572,0.004633522,0.017052197,0.005062554,0.00461705,0.027005059,0.163265728,0,0,0.005240929,0.016289534,0.011892343,0.055373825
L26853,0.005055616,0.003261314,0.045221058,0.010859452,0.033499627,0.063429957,0.021317791,0.091662596,0.017867767,0.209519704,0.002846066,0.113909542,0,0.065357004,0.015158594,0.013467767,0.009256454
L26854,0.714080657,0.479214218,0.483612215,0.379946885,0.331486354,0.718830709,0.689087319,0.645610766,0.705456764,0.662925956,0.350902416,0.535749154,0.369089841,0.521992368,0.621339587,0.682259497,0.569735597
L26855,0.048613125,0.21012647,0.36013441,0.071099871,0.106817894,0.13344355,0.123219451,0.227313165,0.087994152,0.311266542,0.01075654,0.332623698,0,0.329443973,0.115763563,0.081546506,0.060461155
L26856,0.00114657,0.002927392,0.006668421,0.002544619,0.003510924,0.013667557,0.001695757,0,0,0,0.000661156,0.020811727,0,0,0,0,0.001823987
L26858,0.00114657,0.002927392,0.006668421,0.002544619,0.003510924,0.013667557,0.001695757,0,0,0,0.000661156,0.020811727,0,0,0.001991557,0,0.001823987
L26859,0.018231593,0.024050666,0.013730643,0.023961571,0.04144748,0.021303548,0.018416889,0.045698375,0.025945367,0.08675878,0.004071181,0.068730115,0,0.025746286,0.014592676,0.037011847,0.014059763
L26860,0.052467033,0.034856456,0.34787411,0.059776448,0.10293313,0.052243068,0.10075818,0.119344713,0.044842943,0.146156315,0.001601496,0.169979632,0,0.029554667,0.085199902,0.031719847,0.039261374
L26862,0.010584668,0.004839562,0.020909445,0.029303067,0.050913838,0.020607114,0.042606772,0.096137562,0.022621087,0.232591364,0,0.054913704,0,0.018652302,0.046541896,0.042836774,0.013701347
L26863,0.628591923,0.273244694,0.082848502,0.082372305,0.172409174,0.499644263,0.061994111,0.36680416,0.499918929,0.158326153,0.047789232,0.205674416,0.153806348,0.43167528,0.371015705,0.554675356,0.275205683
L26864,0.005906919,0.24160431,0,0.035641486,0.045454629,0.201814438,0.010834218,0.188530461,0.164082368,0.064380611,0.011964303,0.224001784,0,0.521636215,0.076337478,0.015775288,0.014655855
L26866,0.002711862,0.040737998,0,0.004376273,0.000769135,0.001995358,0.022041997,0.021985244,0.022289123,0,0.003574635,0.04640509,0,0.003657598,0.011802336,0,0.017755035
L26867,0.034844684,0.004400259,0,0,0,0.012180254,0.001223727,0.009474482,0.007973344,0,0.000441514,0,0,0.005343516,0.001796406,0.009725609,0.007218674
L26868,0.00186476,0.12868316,0,0,0,0.069674313,0.00191834,0,0,0,0.045245699,0.122595881,0,0.035824445,0.0056693,0.152317887,0.079576925
L26871,0.014857429,0.062100691,0.063072494,0.01199598,0.032581877,0.038863749,0.080507725,0.0747102,0.014699587,0.11353783,0.08547604,0.091970077,0,0.220759459,0.058116175,0.07503047,0.082570651
L26872,0.00373311,0.026460765,0.002715338,0.006361606,0.021258809,0.002869322,0.016736112,0.018128419,0.009680068,0.019458688,0.082528598,0,0,0.197311856,0.031156602,0.017117268,0.059550118
L26873,0.006370468,0.083338916,0.160263539,0.072423477,0.017347373,0.003621357,0.019435485,0.002696078,0.027527237,0.019555583,0.257975688,0,0.093511727,0,0.017859481,0.006051505,0.178211996
L26875,0,0,0.021828131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L26877,0.011240609,0.006150325,0,0,0,0,0,0.007271702,0.019004837,0.033821472,0.000600574,0,0,0,0.001404108,0.005955415,0.003852151
L26878,0,0.008530825,0,0.003409815,0.003858191,0.012088099,0.007824602,0.011037973,0.006685215,0,0.001435903,0.056050797,0,0,0.004294733,0,0.003852151
L26879,0,0.000694939,0.004075797,0,0.006457218,0,0.000664541,0,0,0,0.000137585,0,0,0,0.000332438,0,0.000323804
L26880,0,0.003562438,0,0.016369705,0.008867832,0,0,0,0,0,0.005201272,0,0,0,0,0,0.002276661
L26881,0,0.001655768,0,0.016449807,0.001081305,0,0,0,0,0,0.005877464,0,0,0,0,0,0.003965614
L26883,0.000219118,0,0,0,0.0007564,0,0,0,0,0,0,0,0,0,0,0,0
L26884,0.000193504,0.001045526,0,0.001254355,0,0,0.001681247,0,0,0,0,0,0,0,0.001158027,0,0
L26885,0.009572827,0.006159793,0,0,0.005530333,0.009454497,0.05040972,0.035028508,0,0.005990738,0.009608103,0,0,0.041510394,0.028493566,0.028122356,0.041032001
L26888,0.004036293,0.048790944,0,0.001704946,0,0.012246335,0.009186286,0.004098836,0,0,0.007111668,0.051539256,0,0.121032476,0.024737913,0.01750955,0.034508491
L26889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001691021,0,0
L26890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001691021,0,0
L26892,0.005634285,0.023023891,0.056281358,0.005634374,0.008189413,0.009931793,0.056306724,0.044051876,0.005019519,0.164081676,0.002563833,0.040298696,0,0.031304217,0.033957006,0.047908814,0.02055214
L26894,0.000718312,0.006040885,0,0,0.003323563,0,0.02177407,0.014554337,0,0.086318799,0.002225583,0,0,0.02179362,0.022441442,0.039173293,0.007195726
L26895,0.001212721,0.006159793,0,0,0.001890362,0,0.020138422,0.013681743,0,0.005990738,0.009608103,0,0,0.026235252,0.011316975,0.016765699,0.037121452
L26896,0.00095067,0.018522156,0,0,0.011243495,0,0,0,0,0,0.059339395,0,0,0,0,0,0.045366378
L26899,0.006082344,0.011262771,0,0.008631052,0.015753972,0.02201342,0.045105565,0.017959257,0.006065753,0.005990738,0.001969919,0.01565593,0,0.036866421,0.020759968,0.020673028,0.018865909
L26904,3.93E-08,0,0,0,0,0,0,0,0,0,0,0,0,0.00919214,0.00165603,0,9.24E-08
L26905,0,0.039145405,0,0,0,0.026062635,0,0,0,0,0.005543925,0.06305225,0,0,0,0.017904457,0.020472143
L26915,0,0,0,0.019977642,0,0,0,0,0,0,0,0,0,0,0,0,0
L26918,0,0,0,0,0,0,0.005359916,0.018758248,0,0,0,0,0,0.012724569,0,0.006099807,0
L26924,0.000736571,0.064369359,0,0,0.001973046,0.003621357,0.012254253,0,0,0.00801692,0.181979991,0,0,0.00146014,0.004412696,0.008494555,0.081643357
L26926,0,0,0,0,0,0,0,0,0,0,0.002477654,0,0,0,0,0,0
L26930,0,0,0,0,0.003593363,0,0,0,0,0,0,0,0,0,0,0,0
L26935,0.001627301,0,0,0.004122684,0.007728114,0,0,0,0,0,0,0,0,0,0,0,0
L26937,0.01377348,0.020306749,0.044858214,0.043252157,0.077960925,0.007468693,0.005245956,0.03486829,0.025758587,0.024999413,0.005079958,0.069424941,0,0.030035625,0.011486001,0.013000669,0.012813642
L26938,0.059266443,0.005737124,0,0.00345256,0.003148105,0.057989354,0.030731802,0.01284399,0.02424946,0,0.002205887,0.008399873,0,0.035983092,0.019875109,0.08063889,0.024901222
L26940,0,0.001572021,0.004075797,0.001355192,0.008638541,0,0.000769938,0,0,0,0,0,0,0,0,0,0.002245048
L26941,0.005865712,0.009445676,0.049165773,0.036149032,0.125351568,0,0.002797119,0.002937426,0.012637131,0,0.004853119,0,0.336447184,0.003896883,0.003505325,0,0.005341285
L26942,0.000526898,0.001321283,0,0.043644482,0.081403713,0,0,0,0,0,0.002557747,0,0.202931459,0,0,0,0.002497737
L26944,0,0,0,0.001342643,0.00232499,0,0,0,0,0,0,0,0,0,0,0,0
L26945,0,0,0,0.001342643,0.00232499,0,0,0,0,0,0,0,0,0,0,0,0
L26947,0.007990821,0.006197908,0.016278272,0.029826598,0.014397478,0.002336733,0.011668853,0,0,0.011010873,0.00513208,0,0,0,0.004319291,0.007603135,0.012283485
L26948,0,0,0,0.036241606,0,0,0,0,0,0,0,0,0,0,0,0,0
L26950,0.712934088,0.474544469,0.476943794,0.376545874,0.32797543,0.705163152,0.687391562,0.642412077,0.701327512,0.662925956,0.350241259,0.514937428,0.369089841,0.521992368,0.619503433,0.682259497,0.561090632
L26951,0.023562387,0.126362852,0.113415025,0.046787927,0.07272966,0.092936358,0.088833026,0.1849215,0.054474204,0.281873803,0.006394811,0.186195339,0,0.250725073,0.093250106,0.064476427,0.041304954
L26955,0.001822191,0.00575516,0,0.004805358,0.00667539,0.004389542,0.002491291,0,0,0,0.000396083,0.046594509,0,0.009643537,0.001177834,0,0.002392722
L26956,0.029752912,0.031235312,0.303853051,0.043347434,0.07585462,0.034673435,0.057160295,0.10759823,0.039536093,0.122746879,0.001601496,0.146722424,0,0.029554667,0.061788282,0.024040345,0.02129518
L26957,0.005092544,0.002272778,0.020909445,0.024264102,0.044209107,0.016788996,0.015679143,0.067307029,0.022621087,0.106916978,0,0.054913704,0,0.008685932,0.022409433,0.01141814,0.010499674
L26958,0.010584668,0.004839562,0.020909445,0.029303067,0.050913838,0.020607114,0.042606772,0.096137562,0.022621087,0.232591364,0,0.054913704,0,0.018652302,0.046541896,0.042836774,0.013701347
L26960,0.657110806,0.303626582,0.155703577,0.058553698,0.14411081,0.633931818,0.068465528,0.371856389,0.543439924,0.258105702,0.169892925,0.293353939,0.248107357,0.69462635,0.350428114,0.741921721,0.361078499
L26961,0.604884714,0.23439576,0.078605089,0.072335402,0.132211919,0.485405529,0.057647501,0.310859736,0.460315468,0.150791702,0.046249636,0.190535001,0.153806348,0.422089101,0.320933155,0.542013589,0.247199259
L26962,0,0.001742357,0,0.000856392,0,0,0,0.003198689,0.004129252,0,0,0,0,0,0.001836154,0,0.006820978
L26963,0.001833416,0.155401862,0,0.017079098,0.01606913,0.088838322,0.003215871,0.060776323,0.036807739,0.014513968,0.00659121,0.145602577,0,0.268585089,0.017508072,0.003641931,0.008192365
L26964,0.004073464,0.093623886,0,0.020733487,0.033167105,0.151148302,0.00831446,0.143454754,0.126052965,0.01965236,0.003805349,0.07908497,0,0.30986654,0.057011907,0.012133357,0.002465431
L26966,0.002179028,0.028407718,0,0.000387189,0,0.001995358,0,0.015776336,0.01543806,0,0.001539596,0.015139415,0,0.003657598,0.002425467,0,0.00941874
L26967,0.043314485,0.015877984,0.004243414,0.012809782,0.048366194,0.028764536,0.00434661,0.045770082,0.030741218,0.007534451,0,0,0,0.005656609,0.042735304,0.018155257,0.028350579
